Id,R,Nome,Squadra,Qt.A,Qt.I,Diff.,FVM,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,xG,xAG,npxG,npxG+xAG,Sh,SoT,SoT%,Sh/90,SoT/90,Cmp,Att,Cmp%,PrgP,KP,PPA,PrgC,PrgR,SCA,SCA90,GCA,GCA90,Tkl,Int,Blocks,Tkl+Int,Clr,Err,Touches,Carries,Mis,Dis,CrdY,CrdR,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,PSxG,PSxG/SoT,PSxG+/-,/90,PlayerScore,Score
2531,A,lukaku,Napoli,30,31,-1,120,romelu lukaku,be BEL,FW,Napoli,31.0,1993.0,36,35,2843,31.6,14,10,24,11,3,4,13.0,4.0,9.8,13.8,60,20,33.3,1.9,0.63,353,497,71.0,36,35,11,31,219,76,2.4,16,0.51,4,1,21,5,17,0,725,380,55,53,4,0,,,,,,,,,,,,,,,,,,,,,,100.0,100.0
2097,A,kean,Fiorentina,31,33,-2,364,moise kean,it ITA,FW,Fiorentina,24.0,2000.0,31,30,2615,29.1,17,3,20,16,1,2,19.4,1.9,17.9,19.7,98,45,45.9,3.37,1.55,228,326,69.9,26,19,10,42,143,57,1.9,7,0.23,7,5,15,12,26,1,700,454,97,53,5,0,,,,,,,,,,,,,,,,,,,,,,83.66262219171199,91.57303370786516
4730,A,lookman,Atalanta,28,29,-1,123,ademola lookman,ng NGA,"MF,FW",Atalanta,26.0,1997.0,31,28,2247,25.0,15,5,20,14,1,1,10.3,7.1,9.5,16.7,81,32,39.5,3.24,1.28,684,944,72.5,73,61,43,142,316,135,5.41,15,0.6,32,3,35,35,5,1,1274,827,72,51,4,0,,,,,,,,,,,,,,,,,,,,,,84.20988256447029,87.64044943820227
6435,A,krstovic,Atalanta,20,20,0,148,nikola krstovic,me MNE,FW,Lecce,24.0,2000.0,37,37,3057,34.0,11,5,16,9,2,3,12.1,2.9,9.7,12.6,134,38,28.4,3.95,1.12,434,654,66.4,56,30,15,42,149,87,2.56,7,0.21,18,7,28,25,24,0,1051,571,86,40,6,0,,,,,,,,,,,,,,,,,,,,,,64.77683274190024,67.41573033707866
4510,A,leao,Milan,23,24,-1,210,rafael leao,pt POR,FW,Milan,25.0,1999.0,34,25,2323,25.8,8,8,16,8,0,0,7.6,8.4,7.6,15.9,66,29,43.9,2.56,1.12,630,849,74.2,93,58,51,123,262,113,4.38,16,0.62,16,6,27,22,4,0,1135,780,53,36,5,0,,,,,,,,,,,,,,,,,,,,,,63.87769387462841,66.85393258426967
6675,A,dovbyk,Roma,20,21,-1,70,artem dovbyk,ua UKR,FW,Roma,27.0,1997.0,32,27,2418,26.9,12,2,14,10,2,2,11.9,2.4,10.3,12.7,61,25,41.0,2.27,0.93,321,433,74.1,16,25,4,24,175,52,1.94,6,0.22,4,2,11,6,12,0,654,355,79,33,0,0,,,,,,,,,,,,,,,,,,,,,,61.814927557725255,66.29213483146069
2841,A,vlahovic,Juventus,26,24,2,126,dusan vlahovic,rs SRB,FW,Juventus,24.0,2000.0,29,21,1784,19.8,10,4,14,6,4,4,12.3,1.3,9.2,10.5,73,25,34.2,3.68,1.26,253,366,69.1,22,15,7,27,117,41,2.07,8,0.4,4,1,12,5,9,3,564,308,51,28,3,0,,,,,,,,,,,,,,,,,,,,,,62.963622659048625,65.73033707865169
7120,A,lang,Napoli,18,19,-1,47,anthony elanga,se SWE,"FW,MF",Nott'ham Forest,22.0,2002.0,38,31,2501,27.8,6,11,17,6,0,0,4.5,5.7,4.5,10.1,44,24,54.5,1.58,0.86,540,827,65.3,63,50,26,102,229,102,3.67,18,0.65,19,6,24,25,25,0,1115,600,79,43,1,0,,,,,,,,,,,,,,,,,,,,,,63.48314606741574,63.48314606741574
6314,A,openda,Juventus,22,22,0,147,lois openda,be BEL,"FW,MF",RB Leipzig,24.0,2000.0,33,28,2453,27.3,9,5,14,9,0,1,9.0,3.4,8.2,11.6,77,31,40.3,2.83,1.14,377,591,63.8,47,28,20,58,229,66,2.42,10,0.37,9,5,36,14,12,0,904,521,82,27,5,1,,,,,,,,,,,,,,,,,,,,,,58.65841769090855,61.23595505617979
5995,A,de ketelaere,Atalanta,21,22,-1,142,charles de ketelaere,be BEL,"MF,FW",Atalanta,23.0,2001.0,36,25,2070,23.0,7,7,14,7,0,0,7.3,6.0,7.3,13.2,48,20,41.7,2.09,0.87,754,995,75.8,140,39,53,108,211,88,3.83,14,0.61,13,3,26,16,9,1,1238,832,52,50,1,0,,,,,,,,,,,,,,,,,,,,,,56.6797286491627,58.98876404494383
6226,A,castellanos,Lazio,22,21,1,198,valentin castellanos,ar ARG,FW,Lazio,25.0,1998.0,29,28,2384,26.5,10,3,13,8,2,3,13.4,3.6,11.3,14.9,105,36,34.3,3.96,1.36,366,541,67.7,66,26,14,27,149,73,2.76,14,0.53,13,6,20,19,25,0,835,423,55,29,9,1,,,,,,,,,,,,,,,,,,,,,,53.57336701011067,58.98876404494383
6572,A,castro,Bologna,20,19,1,128,santiago castro,ar ARG,FW,Bologna,19.0,2004.0,36,27,2294,25.5,8,4,12,8,0,1,7.7,2.9,6.9,9.8,62,20,32.3,2.43,0.78,354,461,76.8,39,28,8,17,136,69,2.71,11,0.43,18,3,10,21,20,0,722,428,70,64,7,0,,,,,,,,,,,,,,,,,,,,,,49.182568598341746,55.6179775280899
309,A,dybala,Roma,26,26,0,218,paulo dybala,ar ARG,"FW,MF",Roma,30.0,1993.0,24,16,1417,15.7,6,3,9,3,3,3,6.4,5.0,4.0,9.0,47,15,31.9,2.99,0.95,596,729,81.8,79,40,26,41,122,84,5.34,8,0.51,17,2,16,19,2,0,909,595,40,28,2,0,,,,,,,,,,,,,,,,,,,,,,51.3378211920091,55.05617977528091
4871,A,thuram,Inter,31,29,2,337,khephren thuram,fr FRA,MF,Juventus,23.0,2001.0,35,26,2326,25.8,4,5,9,4,0,0,3.5,3.6,3.5,7.1,36,10,27.8,1.39,0.39,1228,1389,88.4,123,25,19,74,52,56,2.17,10,0.39,44,14,17,58,39,2,1661,1067,28,23,5,0,,,,,,,,,,,,,,,,,,,,,,55.13703359982224,54.494382022471925
2499,A,vardy,Cremonese,15,15,0,55,jamie vardy,eng ENG,FW,Leicester City,37.0,1987.0,35,35,2823,31.4,9,4,13,8,1,2,11.2,3.0,9.6,12.6,56,23,41.1,1.79,0.73,258,389,66.3,22,19,10,29,120,47,1.5,10,0.32,19,5,15,24,24,0,586,285,34,14,5,0,,,,,,,,,,,,,,,,,,,,,,40.06984822516553,53.37078651685394
6434,A,yildiz,Juventus,25,24,1,220,kenan yildiz,tr TUR,"FW,MF",Juventus,19.0,2005.0,35,28,2402,26.7,7,4,11,7,0,0,4.3,5.0,4.3,9.3,61,22,36.1,2.29,0.82,896,1124,79.7,121,57,52,115,223,130,4.87,10,0.37,54,5,24,59,13,3,1485,964,86,41,2,1,,,,,,,,,,,,,,,,,,,,,,49.509857133610886,51.68539325842697
4359,A,piccoli,Fiorentina,17,17,0,80,roberto piccoli,it ITA,FW,Cagliari,23.0,2001.0,37,37,3127,34.7,10,1,11,9,1,1,12.7,0.9,12.0,12.9,97,28,28.9,2.79,0.81,343,517,66.3,37,13,7,30,165,57,1.64,8,0.23,13,3,17,16,31,0,919,511,114,46,6,0,,,,,,,,,,,,,,,,,,,,,,47.2206211143405,51.68539325842697
6215,A,lucca,Napoli,14,15,-1,72,lorenzo lucca,it ITA,FW,Udinese,23.0,2000.0,33,27,2353,26.1,12,1,13,11,1,1,7.6,1.6,6.8,8.4,64,25,39.1,2.45,0.96,240,375,64.0,18,14,1,15,98,33,1.26,4,0.15,10,7,10,17,27,0,641,350,73,29,10,0,,,,,,,,,,,,,,,,,,,,,,51.685393258426956,51.68539325842697
5734,A,soule,Roma,20,20,0,153,matias soule,ar ARG,"MF,DF",Roma,21.0,2003.0,27,22,1781,19.8,5,5,10,5,0,0,3.0,5.2,3.0,8.3,42,13,31.0,2.12,0.66,785,955,82.2,89,51,34,84,191,90,4.55,8,0.4,26,9,15,35,25,0,1271,794,56,32,3,0,,,,,,,,,,,,,,,,,,,,,,45.57541269086522,48.87640449438202
2038,A,pinamonti,Sassuolo,16,16,0,82,andrea pinamonti,it ITA,FW,Genoa,25.0,1999.0,36,33,2850,31.7,10,1,11,10,0,1,7.7,1.7,7.0,8.7,78,29,37.2,2.46,0.92,419,667,62.8,46,15,9,20,132,48,1.52,5,0.16,10,1,28,11,28,2,952,491,67,34,4,0,,,,,,,,,,,,,,,,,,,,,,35.78871083889729,47.19101123595506
2155,A,cutrone,Parma,11,10,1,24,patrick cutrone,it ITA,FW,Como,26.0,1998.0,33,23,2047,22.7,7,4,11,7,0,1,7.1,2.1,6.3,8.4,69,26,37.7,3.03,1.14,336,478,70.3,31,19,10,53,155,49,2.15,6,0.26,16,5,19,21,7,0,692,445,62,26,1,0,,,,,,,,,,,,,,,,,,,,,,35.15451922679994,45.5056179775281
6967,A,diao,Como,16,17,-1,60,assane diao,sn SEN,"FW,MF",Como,18.0,2005.0,15,14,1252,13.9,8,1,9,8,0,0,4.0,0.4,4.0,4.4,28,13,46.4,2.01,0.93,241,304,79.3,36,8,13,50,116,31,2.23,4,0.29,25,3,22,28,19,0,523,376,50,38,2,0,,,,,,,,,,,,,,,,,,,,,,37.6865970197479,44.943820224719104
7008,A,gimenez,Milan,24,25,-1,113,santiago gimenez,mx MEX,FW,Milan,23.0,2001.0,14,7,669,7.4,5,2,7,5,0,1,4.8,0.9,4.0,4.9,22,9,40.9,2.96,1.21,79,98,80.6,6,6,2,13,38,16,2.15,4,0.54,5,1,2,6,13,0,189,101,22,2,3,1,,,,,,,,,,,,,,,,,,,,,,41.332625448288965,43.25842696629214
2764,A,martinez,Inter,34,34,0,373,arnau martinez,es ESP,"DF,MF",Girona,21.0,2003.0,32,30,2624,29.2,2,2,4,2,0,0,1.2,2.2,1.2,3.5,19,6,31.6,0.65,0.21,1603,1855,86.4,162,18,14,41,102,56,1.92,6,0.21,51,31,35,82,76,2,2108,1183,25,14,3,0,,,,,,,,,,,,,,,,,,,,,,43.76857306377641,43.25842696629214
6669,A,bonny,Inter,7,5,2,37,ange yoan bonny,fr FRA,FW,Parma,20.0,2003.0,37,30,2529,28.1,6,4,10,4,2,3,9.4,2.9,7.1,9.9,61,19,31.1,2.17,0.68,431,573,75.2,53,30,15,41,163,67,2.39,8,0.28,34,3,19,37,17,0,898,527,86,70,2,0,,,,,,,,,,,,,,,,,,,,,,38.65276582255579,38.20224719101124
4728,A,nkunku,Milan,20,20,0,135,christopher nkunku,fr FRA,FW,Chelsea,26.0,1997.0,27,9,921,10.2,3,2,5,3,0,0,4.8,2.1,4.8,6.9,25,11,44.0,2.44,1.07,299,334,89.5,25,14,7,17,68,34,3.32,4,0.39,12,7,3,19,10,0,448,280,18,17,2,0,,,,,,,,,,,,,,,,,,,,,,34.354389982993425,35.95505617977528
