Id,R,Nome,Squadra,Qt.A,Qt.I,Diff.,FVM,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,xG,xAG,npxG,npxG+xAG,Sh,SoT,SoT%,Sh/90,SoT/90,Cmp,Att,Cmp%,PrgP,KP,PPA,PrgC,PrgR,SCA,SCA90,GCA,GCA90,Tkl,Int,Blocks,Tkl+Int,Clr,Err,Touches,Carries,Mis,Dis,CrdY,CrdR,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,PSxG,PSxG/SoT,PSxG+/-,/90,PlayerScore,Score
2423,C,pulisic,Milan,28,28,0,218,christian pulisic,us USA,"FW,MF",Milan,25.0,1998.0,34,29,2478,27.5,11,9,20,8,3,4,12.0,6.4,8.9,15.2,53,20,37.7,1.92,0.73,825,1078,76.5,105,69,35,121,191,125,4.54,14,0.51,43,5,25,48,13,2,1367,859,57,40,1,0,,,,,,,,,,,,,,,,,,,,,,100.0,100.0
2167,C,orsolini,Bologna,30,30,0,218,riccardo orsolini,it ITA,FW,Bologna,27.0,1997.0,30,23,1878,20.9,15,4,19,12,3,3,10.1,3.7,7.8,11.5,72,25,34.7,3.45,1.2,425,646,65.8,69,30,29,61,186,59,2.83,5,0.24,16,8,31,24,10,1,916,589,48,25,2,0,,,,,,,,,,,,,,,,,,,,,,89.34095503582698,94.94163424124513
6875,C,paz,Como,21,20,1,132,nicolas paz,ar ARG,"MF,FW",Como,19.0,2004.0,35,30,2687,29.9,6,8,14,6,0,1,9.3,6.0,8.5,14.5,109,37,33.9,3.65,1.24,992,1231,80.6,163,54,38,77,171,144,4.82,16,0.54,51,21,29,72,16,0,1683,1093,101,45,6,0,,,,,,,,,,,,,,,,,,,,,,85.53010378900383,94.16342412451361
632,C,zaccagni,Lazio,26,26,0,206,mattia zaccagni,it ITA,FW,Lazio,29.0,1995.0,34,33,2686,29.8,8,6,14,6,2,2,6.4,4.6,4.9,9.5,46,14,30.4,1.54,0.47,872,1151,75.8,114,55,39,91,264,107,3.59,9,0.3,38,29,31,67,22,2,1458,911,49,40,10,0,,,,,,,,,,,,,,,,,,,,,,87.7618577485004,90.6614785992218
2379,C,rabiot,Milan,23,23,0,145,adrien rabiot,fr FRA,MF,Marseille,29.0,1995.0,29,27,2485,27.6,9,4,13,9,0,0,7.3,3.8,7.3,11.1,48,22,45.8,1.74,0.8,1309,1543,84.8,168,28,24,79,174,66,2.39,11,0.4,49,21,38,70,32,0,1822,1096,52,31,4,0,,,,,,,,,,,,,,,,,,,,,,70.8171206225681,70.8171206225681
22,C,de roon,Atalanta,12,12,0,32,marten de roon,nl NED,"MF,DF",Atalanta,33.0,1991.0,36,34,3058,34.0,4,4,8,4,0,0,0.9,2.3,0.9,3.2,14,4,28.6,0.41,0.12,1950,2258,86.4,242,25,27,37,32,73,2.15,14,0.41,74,47,17,121,67,1,2538,1475,24,9,5,0,,,,,,,,,,,,,,,,,,,,,,67.94709056164427,68.48249027237352
2517,C,de bruyne,Napoli,23,23,0,139,kevin de bruyne,be BEL,"MF,FW",Manchester City,33.0,1991.0,28,19,1702,18.9,4,7,11,4,0,0,5.1,8.0,5.1,13.1,57,15,26.3,3.01,0.79,908,1196,75.9,157,57,59,51,150,113,5.97,11,0.58,17,7,28,24,10,1,1368,812,26,28,2,0,,,,,,,,,,,,,,,,,,,,,,69.01788998310285,68.48249027237352
5687,C,vlasic,Torino,14,15,-1,39,nikola vlasic,hr CRO,"MF,FW",Torino,26.0,1997.0,30,23,2117,23.5,5,4,9,3,2,2,3.4,2.4,1.8,4.2,30,10,33.3,1.28,0.43,613,768,79.8,94,32,24,53,110,70,2.98,8,0.34,37,9,19,46,15,0,983,607,44,42,0,0,,,,,,,,,,,,,,,,,,,,,,60.53445944264227,67.70428015564202
5791,C,frendrup,Genoa,9,9,0,21,morten frendrup,dk DEN,MF,Genoa,23.0,2001.0,35,35,3103,34.5,2,0,2,2,0,0,1.6,0.9,1.6,2.5,30,9,30.0,0.87,0.26,1067,1250,85.4,106,14,11,24,29,53,1.54,4,0.12,102,47,23,149,57,0,1647,737,41,24,5,0,,,,,,,,,,,,,,,,,,,,,,55.2894228136693,67.70428015564202
4892,C,saelemaekers,Milan,12,12,0,40,alexis saelemaekers,be BEL,"DF,FW",Roma,25.0,1999.0,22,17,1389,15.4,7,3,10,7,0,0,2.5,2.6,2.5,5.1,25,12,48.0,1.62,0.78,630,773,81.5,53,24,22,39,136,55,3.57,10,0.65,33,9,20,42,8,1,945,582,39,14,4,0,,,,,,,,,,,,,,,,,,,,,,66.92607003891051,66.9260700389105
536,C,politano,Napoli,16,15,1,65,matteo politano,it ITA,"FW,MF",Napoli,30.0,1993.0,37,34,2804,31.2,3,4,7,3,0,0,3.1,4.8,3.1,7.9,56,14,25.0,1.8,0.45,873,1261,69.2,129,56,55,135,278,105,3.37,10,0.32,29,13,57,42,50,1,1561,920,47,24,3,0,,,,,,,,,,,,,,,,,,,,,,65.48856606351234,64.98054474708171
