Id,R,Nome,Squadra,Qt.A,Qt.I,Diff.,FVM,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,xG,xAG,npxG,npxG+xAG,Sh,SoT,SoT%,Sh/90,SoT/90,Cmp,Att,Cmp%,PrgP,KP,PPA,PrgC,PrgR,SCA,SCA90,GCA,GCA90,Tkl,Int,Blocks,Tkl+Int,Clr,Err,Touches,Carries,Mis,Dis,CrdY,CrdR,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,PSxG,PSxG/SoT,PSxG+/-,/90,PlayerScore,Score
2423,C,pulisic,Milan,28,28,0,218,christian pulisic,us USA,"FW,MF",Milan,25.0,1998.0,34,29,2478,27.5,11,9,20,8,3,4,12.0,6.4,8.9,15.2,53,20,37.7,1.92,0.73,825,1078,76.5,105,69,35,121,191,125,4.54,14,0.51,43,5,25,48,13,2,1367,859,57,40,1,0,,,,,,,,,,,,,,,,,,,,,,100.0,100.0
2167,C,orsolini,Bologna,30,30,0,218,riccardo orsolini,it ITA,FW,Bologna,27.0,1997.0,30,23,1878,20.9,15,4,19,12,3,3,10.1,3.7,7.8,11.5,72,25,34.7,3.45,1.2,425,646,65.8,69,30,29,61,186,59,2.83,5,0.24,16,8,31,24,10,1,916,589,48,25,2,0,,,,,,,,,,,,,,,,,,,,,,89.42020530101432,95.0
6875,C,paz,Como,21,20,1,132,nicolas paz,ar ARG,"MF,FW",Como,19.0,2004.0,35,30,2687,29.9,6,8,14,6,0,1,9.3,6.0,8.5,14.5,109,37,33.9,3.65,1.24,992,1231,80.6,163,54,38,77,171,144,4.82,16,0.54,51,21,29,72,16,0,1683,1093,101,45,6,0,,,,,,,,,,,,,,,,,,,,,,85.63768782826901,94.23076923076923
632,C,zaccagni,Lazio,26,26,0,206,mattia zaccagni,it ITA,FW,Lazio,29.0,1995.0,34,33,2686,29.8,8,6,14,6,2,2,6.4,4.6,4.9,9.5,46,14,30.4,1.54,0.47,872,1151,75.8,114,55,39,91,264,107,3.59,9,0.3,38,29,31,67,22,2,1458,911,49,40,10,0,,,,,,,,,,,,,,,,,,,,,,87.85284864140796,90.76923076923077
6431,D,paz,Sassuolo,1,1,0,5,nicolas paz,ar ARG,"MF,FW",Como,19.0,2004.0,35,30,2687,29.9,6,8,14,6,0,1,9.3,6.0,8.5,14.5,109,37,33.9,3.65,1.24,992,1231,80.6,163,54,38,77,171,144,4.82,16,0.54,51,21,29,72,16,0,1683,1093,101,45,6,0,,,,,,,,,,,,,,,,,,,,,,49.7917926840386,76.53846153846153
7164,D,perez,Lecce,1,1,0,1,ayoze perez,es ESP,FW,Villarreal,31.0,1993.0,30,22,1970,21.9,19,2,21,19,0,0,12.7,3.0,12.7,15.7,75,31,41.3,3.43,1.42,314,414,75.8,73,32,21,59,124,72,3.26,5,0.23,27,8,12,35,15,0,705,429,62,34,4,0,,,,,,,,,,,,,,,,,,,,,,46.63166794098096,76.15384615384615
2379,C,rabiot,Milan,23,23,0,145,adrien rabiot,fr FRA,MF,Marseille,29.0,1995.0,29,27,2485,27.6,9,4,13,9,0,0,7.3,3.8,7.3,11.1,48,22,45.8,1.74,0.8,1309,1543,84.8,168,28,24,79,174,66,2.39,11,0.4,49,21,38,70,32,0,1822,1096,52,31,4,0,,,,,,,,,,,,,,,,,,,,,,71.03409605867569,71.15384615384616
2531,A,lukaku,Napoli,30,31,-1,120,romelu lukaku,be BEL,FW,Napoli,31.0,1993.0,36,35,2843,31.6,14,10,24,11,3,4,13.0,4.0,9.8,13.8,60,20,33.3,1.9,0.63,353,497,71.0,36,35,11,31,219,76,2.4,16,0.51,4,1,21,5,17,0,725,380,55,53,4,0,,,,,,,,,,,,,,,,,,,,,,66.02908530852048,69.61538461538461
22,C,de roon,Atalanta,12,12,0,32,marten de roon,nl NED,"MF,DF",Atalanta,33.0,1991.0,36,34,3058,34.0,4,4,8,4,0,0,0.9,2.3,0.9,3.2,14,4,28.6,0.41,0.12,1950,2258,86.4,242,25,27,37,32,73,2.15,14,0.41,74,47,17,121,67,1,2538,1475,24,9,5,0,,,,,,,,,,,,,,,,,,,,,,68.18540474284472,68.84615384615384
2517,C,de bruyne,Napoli,23,23,0,139,kevin de bruyne,be BEL,"MF,FW",Manchester City,33.0,1991.0,28,19,1702,18.9,4,7,11,4,0,0,5.1,8.0,5.1,13.1,57,15,26.3,3.01,0.79,908,1196,75.9,157,57,59,51,150,113,5.97,11,0.58,17,7,28,24,10,1,1368,812,26,28,2,0,,,,,,,,,,,,,,,,,,,,,,69.24824274389478,68.84615384615384
5687,C,vlasic,Torino,14,15,-1,39,nikola vlasic,hr CRO,"MF,FW",Torino,26.0,1997.0,30,23,2117,23.5,5,4,9,3,2,2,3.4,2.4,1.8,4.2,30,10,33.3,1.28,0.43,613,768,79.8,94,32,24,53,110,70,2.98,8,0.34,37,9,19,46,15,0,983,607,44,42,0,0,,,,,,,,,,,,,,,,,,,,,,60.82788672111283,68.07692307692308
5791,C,frendrup,Genoa,9,9,0,21,morten frendrup,dk DEN,MF,Genoa,23.0,2001.0,35,35,3103,34.5,2,0,2,2,0,0,1.6,0.9,1.6,2.5,30,9,30.0,0.87,0.26,1067,1250,85.4,106,14,11,24,29,53,1.54,4,0.12,102,47,23,149,57,0,1647,737,41,24,5,0,,,,,,,,,,,,,,,,,,,,,,55.62184707030823,68.07692307692308
4892,C,saelemaekers,Milan,12,12,0,40,alexis saelemaekers,be BEL,"DF,FW",Roma,25.0,1999.0,22,17,1389,15.4,7,3,10,7,0,0,2.5,2.6,2.5,5.1,25,12,48.0,1.62,0.78,630,773,81.5,53,24,22,39,136,55,3.57,10,0.65,33,9,20,42,8,1,945,582,39,14,4,0,,,,,,,,,,,,,,,,,,,,,,67.17197553316578,67.3076923076923
7202,D,ndiaye,Parma,4,4,0,10,iliman ndiaye,sn SEN,FW,Everton,24.0,2000.0,33,29,2430,27.0,9,0,9,7,2,2,6.2,1.9,4.7,6.5,35,15,42.9,1.3,0.56,602,736,81.8,59,18,14,86,122,65,2.41,8,0.3,53,20,22,73,24,1,1084,621,55,44,3,0,,,,,,,,,,,,,,,,,,,,,,43.36761837647703,65.76923076923077
536,C,politano,Napoli,16,15,1,65,matteo politano,it ITA,"FW,MF",Napoli,30.0,1993.0,37,34,2804,31.2,3,4,7,3,0,0,3.1,4.8,3.1,7.9,56,14,25.0,1.8,0.45,873,1261,69.2,129,56,55,135,278,105,3.37,10,0.32,29,13,57,42,50,1,1561,920,47,24,3,0,,,,,,,,,,,,,,,,,,,,,,65.74515943568173,65.38461538461539
2097,A,kean,Fiorentina,31,33,-2,364,moise kean,it ITA,FW,Fiorentina,24.0,2000.0,31,30,2615,29.1,17,3,20,16,1,2,19.4,1.9,17.9,19.7,98,45,45.9,3.37,1.55,228,326,69.9,26,19,10,42,143,57,1.9,7,0.23,7,5,15,12,26,1,700,454,97,53,5,0,,,,,,,,,,,,,,,,,,,,,,55.36313298983411,63.84615384615384
6549,C,pierotti,Lecce,10,10,0,20,santiago pierotti,ar ARG,FW,Lecce,23.0,2001.0,36,22,1937,21.5,4,2,6,4,0,0,3.1,2.4,3.1,5.5,32,7,21.9,1.49,0.33,311,436,71.3,38,25,9,43,85,50,2.32,2,0.09,46,14,24,60,32,0,730,353,60,33,6,1,,,,,,,,,,,,,,,,,,,,,,50.28075672308918,63.46153846153846
5301,C,luis henrique,Inter,6,7,-1,14,luis henrique,br BRA,"DF,FW",Marseille,22.0,2001.0,33,29,2613,29.0,7,7,14,7,0,0,4.2,4.2,4.2,8.3,30,14,46.7,1.03,0.48,1156,1427,81.0,143,53,47,84,280,105,3.62,15,0.52,16,10,31,26,30,0,1643,1015,30,19,0,0,,,,,,,,,,,,,,,,,,,,,,65.57771853159069,63.46153846153846
5513,D,dumfries,Inter,21,20,1,107,denzel dumfries,nl NED,"DF,FW",Inter,28.0,1996.0,28,19,1865,20.7,7,2,9,7,0,0,5.4,3.2,5.4,8.6,36,19,52.8,1.74,0.92,603,831,72.6,51,21,21,55,173,55,2.53,4,0.18,25,6,27,31,26,1,1047,534,27,14,4,0,,,,,,,,,,,,,,,,,,,,,,53.61758028013621,63.07692307692307
6815,C,fadera,Sassuolo,6,6,0,13,alieu fadera,gm GAM,"FW,DF",Como,22.0,2001.0,28,20,1644,18.3,1,3,4,1,0,0,1.7,4.0,1.7,5.7,28,9,32.1,1.53,0.49,441,591,74.6,36,23,24,74,160,54,2.95,7,0.38,64,12,28,76,10,0,844,544,41,33,2,1,,,,,,,,,,,,,,,,,,,,,,52.567834777001664,62.69230769230769
4220,C,zambo anguissa,Napoli,16,15,1,63,andre frank zambo anguissa,cm CMR,MF,Napoli,28.0,1995.0,35,32,2852,31.7,6,4,10,6,0,0,4.4,2.4,4.4,6.8,44,12,27.3,1.39,0.38,1275,1509,84.5,144,26,21,24,119,75,2.37,9,0.28,42,35,25,77,40,1,1825,915,48,35,5,0,,,,,,,,,,,,,,,,,,,,,,62.24207612746871,61.92307692307693
254,D,dimarco,Inter,19,19,0,94,federico dimarco,it ITA,"DF,FW",Inter,26.0,1997.0,32,28,2140,23.8,4,7,11,4,0,0,3.3,6.1,3.3,9.5,55,20,36.4,2.31,0.84,973,1275,76.3,83,48,40,47,232,96,4.0,14,0.58,25,14,29,39,33,2,1475,789,18,10,3,0,,,,,,,,,,,,,,,,,,,,,,52.63234901704787,61.92307692307693
4730,A,lookman,Atalanta,28,29,-1,123,ademola lookman,ng NGA,"MF,FW",Atalanta,26.0,1997.0,31,28,2247,25.0,15,5,20,14,1,1,10.3,7.1,9.5,16.7,81,32,39.5,3.24,1.28,684,944,72.5,73,61,43,142,316,135,5.41,15,0.6,32,3,35,35,5,1,1274,827,72,51,4,0,,,,,,,,,,,,,,,,,,,,,,55.72041511370011,61.15384615384616
4686,C,fofana,Milan,11,11,0,31,malick fofana,be BEL,FW,Lyon,19.0,2005.0,29,16,1589,17.7,5,4,9,5,0,0,3.8,3.7,3.8,7.6,31,15,48.4,1.76,0.85,494,638,77.4,45,25,32,112,205,55,3.12,11,0.62,22,8,32,30,6,0,828,587,36,18,2,0,,,,,,,,,,,,,,,,,,,,,,60.99258269234993,61.15384615384616
2160,D,gosens,Fiorentina,18,18,0,83,robin gosens,de GER,DF,Fiorentina,30.0,1994.0,31,28,2434,27.0,5,5,10,5,0,0,1.8,2.4,1.8,4.1,23,8,34.8,0.85,0.3,1020,1334,76.5,102,27,32,31,91,66,2.36,14,0.5,56,18,29,74,91,0,1606,781,31,5,6,0,,,,,,,,,,,,,,,,,,,,,,46.912815609052366,60.38461538461538
2765,C,odgaard,Bologna,15,16,-1,67,jens odgaard,dk DEN,"MF,FW",Bologna,25.0,1999.0,29,24,1952,21.7,6,1,7,6,0,0,3.6,1.8,3.6,5.4,49,22,44.9,2.26,1.01,374,500,74.8,50,16,15,35,99,45,2.08,6,0.28,20,9,22,29,12,1,759,454,56,33,1,0,,,,,,,,,,,,,,,,,,,,,,54.53101075414784,58.07692307692308
2194,C,calhanoglu,Inter,22,23,-1,143,hakan calhanoglu,tr TUR,MF,Inter,30.0,1994.0,28,25,1879,20.9,5,6,11,2,3,4,4.4,5.6,1.3,6.9,41,12,29.3,1.96,0.57,1464,1690,86.6,173,49,28,52,51,99,4.58,14,0.65,43,17,12,60,24,0,1881,1150,21,9,5,0,,,,,,,,,,,,,,,,,,,,,,59.57455037999853,57.692307692307686
5685,C,koopmeiners,Juventus,14,14,0,35,teun koopmeiners,nl NED,"MF,FW",Juventus,26.0,1998.0,28,23,1994,22.2,3,3,6,3,0,0,3.9,2.9,3.9,6.8,42,10,23.8,1.9,0.45,761,953,79.9,89,38,18,32,127,63,2.84,3,0.14,32,8,12,40,26,2,1170,591,40,16,3,0,,,,,,,,,,,,,,,,,,,,,,56.66931344737615,57.692307692307686
6884,C,conceicao,Juventus,18,18,0,81,francisco conceicao,pt POR,"FW,MF",Juventus,21.0,2002.0,26,12,1340,14.9,3,3,6,3,0,0,2.3,4.3,2.3,6.6,40,13,32.5,2.69,0.87,427,545,78.3,35,28,20,95,143,64,4.3,9,0.6,23,6,21,29,6,0,739,548,35,22,5,1,,,,,,,,,,,,,,,,,,,,,,56.28886575381846,57.30769230769231
788,C,freuler,Bologna,11,11,0,23,remo freuler,ch SUI,MF,Bologna,32.0,1992.0,37,37,3204,35.6,1,2,3,1,0,0,1.3,1.5,1.3,2.7,17,4,23.5,0.48,0.11,1704,1944,87.7,208,36,24,39,56,74,2.08,3,0.08,79,38,16,117,57,1,2245,1216,32,14,6,0,,,,,,,,,,,,,,,,,,,,,,52.71386520483189,56.15384615384615
