Id,R,Nome,Squadra,Qt.A,Qt.I,Diff.,FVM,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,xG,xAG,npxG,npxG+xAG,Sh,SoT,SoT%,Sh/90,SoT/90,Cmp,Att,Cmp%,PrgP,KP,PPA,PrgC,PrgR,SCA,SCA90,GCA,GCA90,Tkl,Int,Blocks,Tkl+Int,Clr,Err,Touches,Carries,Mis,Dis,CrdY,CrdR,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,PSxG,PSxG/SoT,PSxG+/-,/90,PlayerScore,Score
543,P,padelli,Udinese,1,1,0,1,daniele padelli,it ITA,GK,Udinese,38.0,1985.0,1,1,90,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,15,20,75.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,22,10,0,0,0,0,1.0,1.0,90.0,1.0,0.0,0.0,3.0,3.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.8,0.26,0.8,0.77,8.333331669737664,24.24242914979757
4,P,sportiello,Atalanta,1,1,0,1,marco sportiello,it ITA,GK,Milan,32.0,1992.0,2,1,126,1.4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,51,61,83.6,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,1,0,63,37,0,0,0,0,2.0,1.0,126.0,1.4,2.0,1.43,6.0,4.0,66.7,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,2.2,0.36,0.2,0.12,10.938217506623127,21.68493927125506
218,P,perin,Juventus,1,1,0,1,mattia perin,it ITA,GK,Juventus,31.0,1992.0,5,5,450,5.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,145,182,79.7,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,2,0,185,123,0,0,0,0,5.0,5.0,450.0,5.0,3.0,0.6,16.0,13.0,81.3,2.0,3.0,0.0,3.0,60.0,0.0,0.0,0.0,3.7,0.23,0.7,0.14,9.036218211357275,16.690607287449392
572,P,meret,Napoli,16,16,0,95,alex meret,it ITA,GK,Napoli,27.0,1997.0,34,34,3005,33.4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,1050,1223,85.9,1,0,0,0,0,2,0.06,0,0.0,0,0,0,0,16,0,1290,775,1,0,0,0,34.0,34.0,3005.0,33.4,25.0,0.75,84.0,59.0,71.4,21.0,9.0,4.0,16.0,47.1,1.0,2.0,1.0,25.3,0.27,2.3,0.07,8.56354459142108,14.254979757085021
5841,P,svilar,Roma,16,15,1,85,mile svilar,rs SRB,GK,Roma,24.0,1999.0,38,38,3420,38.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0.0,0.03,0.0,1151,1459,78.9,2,0,0,0,0,6,0.16,0,0.0,0,0,0,0,12,2,1531,944,0,1,1,0,38.0,38.0,3420.0,38.0,35.0,0.92,151.0,117.0,79.5,20.0,9.0,9.0,16.0,42.1,4.0,0.0,0.0,42.5,0.26,8.5,0.22,7.311889252439998,14.155384615384618
6482,P,mandas,Lazio,3,3,0,3,christos mandas,gr GRE,GK,Lazio,22.0,2001.0,9,9,810,9.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,240,335,71.6,3,0,1,0,0,2,0.22,1,0.11,0,0,0,0,4,0,351,237,0,1,0,0,9.0,9.0,810.0,9.0,7.0,0.78,27.0,20.0,74.1,3.0,5.0,1.0,4.0,44.4,0.0,0.0,0.0,7.9,0.29,0.9,0.1,6.35781342378811,13.780323886639678
5876,P,di gregorio,Juventus,17,16,1,87,michele di gregorio,it ITA,GK,Juventus,27.0,1997.0,33,33,2970,33.0,0,0,0,0,0,0,0.0,0.5,0.0,0.5,0,0,,0.0,0.0,761,994,76.6,0,1,0,0,0,2,0.06,0,0.0,0,1,0,1,14,0,1046,672,0,0,0,0,33.0,33.0,2970.0,33.0,32.0,0.97,103.0,71.0,73.8,16.0,13.0,4.0,14.0,42.4,5.0,0.0,0.0,28.1,0.24,-3.9,-0.12,7.44746424416317,13.714008097165992
2428,P,sommer,Inter,16,16,0,86,yann sommer,ch SUI,GK,Inter,35.0,1988.0,32,32,2880,32.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,1167,1332,87.6,1,0,0,0,0,6,0.18,0,0.0,0,0,0,0,13,1,1388,925,0,0,0,0,32.0,32.0,2880.0,32.0,29.0,0.91,110.0,81.0,76.4,20.0,8.0,4.0,13.0,40.6,3.0,1.0,0.0,31.7,0.24,0.7,0.02,7.756213170837515,13.625425101214578
4431,P,carnesecchi,Atalanta,14,14,0,66,marco carnesecchi,it ITA,GK,Atalanta,24.0,2000.0,34,34,3060,34.0,0,0,0,0,0,0,0.0,0.2,0.0,0.2,0,0,,0.0,0.0,811,1082,75.0,0,1,0,0,0,5,0.15,1,0.03,0,0,0,0,26,2,1178,678,0,0,1,0,34.0,34.0,3060.0,34.0,34.0,1.0,129.0,97.0,75.2,19.0,7.0,8.0,13.0,38.2,2.0,0.0,0.0,36.1,0.28,4.1,0.12,6.715612295491996,13.181052631578948
188,P,leali,Genoa,9,8,1,30,nicola leali,it ITA,GK,Genoa,31.0,1993.0,29,29,2610,29.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,667,938,71.1,0,0,0,0,0,2,0.07,1,0.03,0,0,2,0,14,1,999,523,0,0,1,0,29.0,29.0,2610.0,29.0,31.0,1.07,111.0,82.0,74.8,8.0,10.0,11.0,10.0,34.5,3.0,1.0,0.0,34.3,0.29,6.3,0.22,4.013605883538988,12.522753036437248
