id,player,team,role,mantra_role,manager,mln
6966,Butez,Como,P,Por,Varro,5
4964,Vicario,Juventus,P,Por,Varro,2
4312,Maignan,Milan,P,Por,Varro,10
2296,Mancini,Roma,D,Dc,Varro,20
2120,Bastoni,Inter,D,Dc,Varro,4
5885,Dodò,Fiorentina,D,Dd;E,Varro,2
4807,Hermoso,Roma,D,Dc,Varro,1
6531,Jimenez A.,Fiorentina,D,Dd;Ds;E,Varro,2
6989,Tiago Gabriel,Lecce,D,Dc,Varro,200
4751,Tomori,Milan,D,Dc,Varro,3
2724,Buongiorno,Napoli,D,Dc,Varro,1
5559,Da Cunha,Como,C,C;T,Varro,2
2766,Zaniolo,Udinese,C,T;A,Varro,2
6908,Atta,Fiorentina,C,C;T,Varro,2
1870,Barella,Inter,C,C,Varro,2
4973,McKennie,Juventus,C,C,Varro,2
632,Zaccagni,Lazio,C,W;A,Varro,2
2517,De Bruyne,Napoli,C,T,Varro,2
5687,Vlasic,Torino,C,T,Varro,2
2097,Kean,Fiorentina,A,Pc,Varro,100
6434,Yildiz,Juventus,A,A,Varro,50
7017,Douvikas,Como,A,Pc,Varro,10
2137,Scamacca,Atalanta,A,Pc,Varro,10
5637,Davis K.,Udinese,A,Pc,Varro,10
6435,Krstovic,Atalanta,A,Pc,Varro,10
133,Skorupski,Bologna,P,Por,Panza,45
4360,Caprile,Cagliari,P,Por,Panza,1
5876,Di Gregorio,Juventus,P,Por,Panza,8
1852,Spinazzola,Napoli,D,Ds;E,Panza,1
6664,Delprato,Parma,D,B;Dd;E,Panza,1
5862,Valeri,Parma,D,Ds;E,Panza,1
7529,Koulierakis,Roma,D,Dc,Panza,1
4994,Vojvoda,Udinese,D,Dd;E,Panza,1
6727,Couto,Como,D,Dd;E,Panza,1
5701,Obert,Cagliari,D,B;Ds;E,Panza,1
7414,Kaiki,Como,D,Ds;E,Panza,1
6875,Paz N.,Como,C,T;A,Panza,2
4777,McTominay,Napoli,C,C;T,Panza,2
2194,Calhanoglu,Inter,C,M;C,Panza,2
2167,Orsolini,Bologna,C,W;A,Panza,2
2423,Pulisic,Milan,C,T;A,Panza,2
2379,Rabiot,Milan,C,C;T,Panza,2
7126,Baturina,Como,C,T,Panza,2
7556,Mora,Roma,C,T,Panza,2
2764,Martinez L.,Inter,A,Pc,Panza,10
5585,Malen,Roma,A,Pc,Panza,150
4871,Thuram,Inter,A,Pc,Panza,100
6052,Hojlund,Napoli,A,Pc,Panza,10
6397,Ramos G.,Milan,A,Pc,Panza,10
5951,Kolo Muani,Juventus,A,Pc,Panza,10
