id,player,team,role,mantra_role,manager,mln
5320,Paleari,Torino,P,Por,Delgu,6
4431,Carnesecchi,Atalanta,P,Por,Fabio,25
5831,Gatti,Juventus,D,Dc,Fabio,0
7078,Mastantuono,Fiorentina,C,W;T,Fabio,0
5841,Svilar,Roma,P,Por,Panza,40
4312,Maignan,Milan,P,Por,Panza,0
5840,Olivera,Napoli,D,B;Ds;E,Panza,0
632,Zaccagni,Lazio,C,W;A,Panza,0
6435,Krstovic,Atalanta,A,Pc,Panza,0
7138,Ordonez C.,Parma,C,M;C,Panza,0
2263,Lazzari,Lazio,D,Dd;E,Panza,0
6966,Butez,Como,P,Por,Varro,30
6530,Ghedjemis,Frosinone,A,W;A,Varro,0
