Id,R,RM,Nome,Squadra,Qt.A,Qt.I,Diff.,Qt.A M,Qt.I M,Diff.M,FVM,FVM M,pred_assists_per90,pred_clean_sheets_per90,pred_goals_against_per90,pred_goals_per90,pred_minutes,pred_tackles_won_per90
5841,P,Por,Svilar,Roma,19,18,1,19,18,1,85,85,,0.16769397036221467,0.4361277665550772,,,
4431,P,Por,Carnesecchi,Atalanta,17,16,1,17,16,1,55,55,,0.1435937335714698,0.35484848008736186,,,
5116,P,Por,Martinez Jo.,Inter,17,17,0,17,17,0,68,68,,0.0013311052648197418,0.034274344461921014,,,
4964,P,Por,Vicario,Juventus,17,16,1,17,16,1,70,70,,0.1331746903365772,0.45853788851123106,,,
6966,P,Por,Butez,Como,15,16,-1,15,16,-1,50,50,,0.20974495341119015,0.4097191284204784,,,
4312,P,Por,Maignan,Milan,15,15,0,15,15,0,52,52,,0.2490572299514162,0.25528865846756255,,,
2521,P,Por,De Gea,Fiorentina,11,13,-2,11,13,-2,30,30,,0.16745727258489318,0.39400187401002956,,,
572,P,Por,Meret,Napoli,11,11,0,11,11,0,48,48,,0.1608035578186575,0.18541982210388308,,,
133,P,Por,Skorupski,Bologna,10,10,0,10,10,0,32,32,,0.18124350029779107,0.3796299265560351,,,
4360,P,Por,Caprile,Cagliari,10,9,1,10,9,1,25,25,,0.07486141316592694,0.4927250441908836,,,
6482,P,Por,Mandas,Lazio,10,9,1,10,9,1,36,36,,0.10568945386299962,0.32670024228723427,,,
6462,P,Por,Okoye,Udinese,9,9,0,9,9,0,28,28,,0.12079128832213189,0.5065130943765765,,,
6534,P,Por,Perri,Torino,9,9,0,9,9,0,26,26,,0.0832783940806985,0.5574940460292916,,,
7332,P,Por,Bijlow,Genoa,8,8,0,8,8,0,15,15,,0.1924593096030386,0.448098650025694,,,
2134,P,Por,Falcone,Lecce,8,8,0,8,8,0,26,26,,0.08915840241273768,0.6129129901136222,,,
6344,P,Por,Sanchez Ro.,Como,8,8,0,8,8,0,25,25,,0.0014040836786214067,0.05336804090165778,,,
4236,P,Por,Muric,Sassuolo,7,7,0,7,7,0,15,15,,0.005335126391759044,0.4842721396057229,,,
7411,P,Por,Daffara,Parma,6,7,-1,6,7,-1,7,7,,0.006384278398595358,0.08164927670830174,,,
6248,P,Por,Stankovic F.,Venezia,6,6,0,6,6,0,11,11,,0.07766402246920685,0.6402362847641894,,,
6415,P,Por,Palmisani,Frosinone,5,4,1,5,4,1,12,12,,0.006137099478295759,0.08451847819905532,,,
2170,P,Por,Milinkovic-Savic V.,Napoli,5,5,0,5,5,0,5,5,,0.13897667709738015,0.38830159346524035,,,
4485,P,Por,Thiam,Monza,4,5,-1,4,5,-1,5,5,,0.0055732999903787125,0.004539148796374272,,,
7463,P,Por,Desplanches,Frosinone,2,2,0,2,2,0,1,1,,0.006137099478295759,0.08451847819905532,,,
2814,P,Por,Provedel,Inter,2,2,0,2,2,0,5,5,,0.22793787574297503,0.41258867581816094,,,
6662,P,Por,Corvi,Parma,2,1,1,2,1,1,10,10,,0.048129816118039584,0.3962632170476411,,,
4,P,Por,Sportiello,Atalanta,1,1,0,1,1,0,1,1,,0.1566511965699886,0.3033902075533804,,,
7533,P,Por,Happonen,Bologna,1,1,0,1,1,0,1,1,,0.007007522390493633,0.07441479009233024,,,
7172,P,Por,Pessina Mas.,Bologna,1,1,0,1,1,0,1,1,,0.05538669152773524,0.25276250308281495,,,
6650,P,Por,Sherri,Cagliari,1,1,0,1,1,0,1,1,,0.001378433756181039,0.46656886160373684,,,
7301,P,Por,Tornqvist,Monza,1,1,0,1,1,0,10,10,,0.005979964307533871,0.08634247057532009,,,
2809,P,Por,Vigorito,Como,1,1,0,1,1,0,1,1,,0.01841863591223955,0.1319004768446872,,,
6403,P,Por,Christensen O.,Fiorentina,1,1,0,1,1,0,1,1,,0.01157432304364384,0.23471511161052866,,,
