team,season,wins,loss,draws,goals,goals_per90,goals_against,goals_against_per90,goals_fh,goals_sh,goals_against_fh,goals_against_sh,ts_goals,ts_goals_against
Milan,2023-24,22,7,9,76,2.0,49,1.2894736842105263,36,40,18,31,"[2, 4, 2, 1, 1, 3, 2, 1, 0, 2, 0, 2, 1, 3, 2, 3, 2, 1, 3, 3, 3, 2, 3, 1, 2, 1, 1, 1, 3, 2, 3, 3, 1, 0, 3, 5, 1, 3]","[0, 1, 1, 5, 0, 1, 0, 0, 1, 2, 1, 2, 0, 1, 3, 0, 2, 0, 0, 1, 2, 2, 2, 0, 4, 1, 0, 0, 1, 1, 0, 3, 2, 0, 3, 1, 3, 3]"
Monza,2023-24,11,15,12,39,1.0263157894736843,51,1.3421052631578947,17,22,22,29,"[0, 2, 0, 1, 1, 0, 1, 3, 0, 1, 3, 1, 1, 1, 1, 0, 0, 0, 3, 1, 0, 1, 0, 0, 4, 2, 1, 3, 1, 0, 2, 0, 1, 1, 2, 1, 0, 0]","[2, 0, 3, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 2, 0, 3, 1, 0, 2, 5, 3, 0, 0, 0, 2, 0, 4, 2, 0, 1, 4, 0, 2, 1, 2, 2, 1, 2]"
Fiorentina,2023-24,17,12,9,61,1.605263157894737,46,1.2105263157894737,30,31,21,25,"[4, 2, 0, 3, 2, 1, 3, 3, 0, 0, 0, 2, 0, 3, 1, 1, 1, 1, 0, 2, 0, 2, 5, 0, 1, 2, 0, 2, 1, 0, 1, 2, 5, 1, 2, 2, 3, 3]","[1, 2, 4, 2, 0, 1, 0, 1, 2, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 2, 1, 3, 1, 2, 1, 1, 0, 2, 2, 1, 1, 0, 1, 2, 1, 2, 2, 2]"
Roma,2023-24,18,11,9,65,1.7105263157894737,46,1.2105263157894737,24,41,20,26,"[2, 1, 1, 7, 1, 1, 2, 4, 1, 0, 2, 0, 3, 2, 1, 0, 2, 0, 1, 1, 2, 2, 4, 2, 3, 3, 4, 2, 1, 0, 1, 1, 2, 2, 1, 1, 1, 1]","[2, 2, 2, 0, 1, 4, 0, 1, 0, 1, 1, 0, 1, 1, 1, 2, 0, 1, 1, 3, 1, 1, 0, 4, 0, 2, 1, 2, 0, 0, 0, 3, 1, 2, 1, 2, 0, 2]"
Atalanta,2023-24,21,11,6,72,1.894736842105263,42,1.105263157894737,35,37,21,21,"[2, 1, 3, 2, 2, 1, 0, 2, 2, 3, 1, 1, 1, 0, 3, 4, 0, 1, 1, 5, 2, 3, 4, 3, 1, 0, 1, 2, 3, 1, 2, 2, 2, 2, 2, 2, 3, 2]","[0, 2, 0, 3, 0, 0, 0, 3, 0, 0, 2, 1, 2, 3, 2, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 4, 2, 2, 0, 2, 2, 1, 0, 1, 1, 0, 0, 3]"
Bologna,2023-24,18,6,14,54,1.4210526315789473,32,0.8421052631578947,26,28,18,14,"[0, 1, 2, 0, 0, 0, 3, 2, 2, 1, 1, 1, 2, 1, 2, 2, 1, 0, 1, 1, 2, 4, 4, 2, 2, 2, 2, 0, 1, 3, 0, 0, 3, 1, 0, 2, 3, 0]","[2, 1, 1, 0, 0, 0, 0, 2, 1, 1, 0, 2, 0, 1, 1, 0, 0, 3, 1, 2, 2, 2, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 3, 2]"
Cagliari,2023-24,8,18,12,42,1.105263157894737,68,1.7894736842105263,12,30,29,39,"[0, 0, 1, 0, 0, 1, 0, 1, 2, 4, 2, 1, 1, 0, 2, 1, 0, 0, 1, 2, 1, 1, 0, 1, 1, 1, 1, 4, 0, 1, 2, 2, 2, 0, 1, 1, 2, 2]","[0, 2, 2, 0, 2, 3, 3, 4, 2, 3, 1, 2, 1, 1, 1, 2, 2, 0, 1, 1, 3, 2, 4, 3, 1, 1, 0, 2, 1, 1, 1, 2, 2, 3, 1, 5, 0, 3]"
Empoli,2023-24,9,20,9,29,0.7631578947368421,54,1.4210526315789473,11,18,22,32,"[0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 1, 1, 3, 1, 1, 0, 0, 0, 0, 1, 3, 1, 0, 3, 1, 3, 0, 0, 0, 0, 3, 0, 1, 0, 0, 0, 1, 2]","[1, 2, 2, 7, 1, 0, 3, 0, 0, 3, 2, 0, 4, 1, 1, 1, 2, 0, 3, 2, 0, 1, 0, 1, 1, 2, 1, 1, 1, 2, 2, 1, 0, 2, 0, 2, 1, 1]"
Inter,2023-24,29,2,7,89,2.3421052631578947,22,0.5789473684210527,41,48,10,12,"[2, 2, 4, 5, 1, 1, 4, 2, 3, 1, 2, 2, 1, 3, 4, 2, 2, 1, 2, 5, 1, 1, 4, 4, 4, 4, 2, 1, 1, 2, 2, 2, 2, 2, 0, 5, 1, 2]","[0, 0, 0, 1, 0, 2, 0, 2, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 2, 0, 0, 0, 1, 0, 1, 0, 1, 2, 1, 0, 1, 0, 1, 2]"
Frosinone,2023-24,8,19,11,44,1.1578947368421053,69,1.8157894736842106,19,25,31,38,"[1, 2, 0, 4, 1, 1, 0, 2, 1, 3, 2, 0, 2, 1, 0, 1, 1, 1, 2, 0, 3, 1, 2, 1, 0, 2, 1, 0, 2, 1, 0, 2, 0, 3, 0, 0, 1, 0]","[3, 1, 0, 2, 1, 1, 2, 1, 2, 4, 1, 2, 1, 3, 0, 2, 2, 3, 3, 5, 1, 1, 3, 5, 3, 3, 1, 1, 3, 1, 0, 2, 0, 0, 0, 5, 0, 1]"
