,id,player,team,role,mantra_role,mln
2,4360,Caprile,Cagliari,P,Por,1
1,4312,Maignan,Milan,P,Por,20
0,133,Skorupski,Bologna,P,Por,1
10,4159,Akanji,Inter,D,Dc,1
7,5838,Birindelli,Monza,D,Dd;Ds;E,1
3,2788,Bremer,Juventus,D,Dc,34
5,2816,Di Lorenzo,Napoli,D,Dd;E,16
6,4976,Kalulu,Juventus,D,Dd;Dc,16
8,4998,Molina N.,Roma,D,E,11
9,5022,Pavlovic,Milan,D,Dc,1
4,554,Zappacosta,Atalanta,D,Dd;E,2
11,6908,Atta,Fiorentina,C,C;T,23
18,6666,Bernabè,Parma,C,C,1
16,2517,De Bruyne,Napoli,C,T,1
12,5792,Ederson D.S.,Atalanta,C,M;C,6
17,7625,Goncalves P.,Fiorentina,C,W;T,1
13,2379,Rabiot,Milan,C,C;T,23
15,632,Zaccagni,Lazio,C,W;A,33
14,2766,Zaniolo,Udinese,C,T;A,20
24,5995,De Ketelaere,Atalanta,A,A,1
21,6052,Hojlund,Napoli,A,Pc,50
23,6060,Laurientè,Sassuolo,A,A,1
19,5585,Malen,Roma,A,Pc,188
20,2038,Pinamonti,Lazio,A,Pc,17
22,5734,Soulè,Roma,A,A,2
