,Id,mln,interest,description
0,5841,60,Alto,
1,4431,40,Medio,
2,5116,60,Alto,
3,4964,60,Alto,
4,6966,50,Alto,
5,4312,45,Medio,
6,2521,30,Medio,
7,572,45,Medio,contesa con Milinkovic
8,133,25,Medio,
9,4360,10,Basso,
10,6482,35,Medio,
11,6462,25,Basso,
12,6534,7,Basso,
13,7332,1,Bassissimo,
14,2134,5,Basso,
15,4236,20,Medio,
16,6415,15,Scommessa,
17,2170,45,Medio,contesa con Meret
18,6662,1,Bassissimo,
19,7301,1,Bassissimo,
20,4957,1,Bassissimo,
21,254,1,Alto,
22,7181,1,Alto,
23,4998,1,Medio,
24,2788,1,Alto,
25,2296,1,Medio,
26,4159,1,Alto,
27,4409,1,Medio,
28,2120,1,Alto,
29,4976,1,Alto,
30,5022,1,Alto,
31,5833,1,Bassissimo,
32,4317,1,Basso,
33,6956,1,Medio,
34,2816,1,Alto,
35,5750,1,Basso,
36,4807,1,Medio,
37,6869,1,Medio,
38,5641,1,Medio,
39,5514,1,Da valutare,
40,4994,1,Medio,
41,5555,1,Medio,esterno
42,554,1,Medio,
43,4734,1,Medio,
44,4657,1,Medio,
45,6320,1,Da valutare,
46,6989,1,Bassissimo,
47,1852,1,Medio,
48,6664,1,Medio,
49,5862,1,Bassissimo,
50,6495,1,Basso,
51,6727,1,Alto,terzino
52,5675,1,Medio,
53,4137,1,Da valutare,
54,6042,1,Medio,
55,4433,1,Medio,
56,5701,1,Basso,
57,5365,1,Basso,
58,7469,1,Bassissimo,
59,5620,1,Alto,
60,7485,1,Basso,esterno
61,6672,1,Medio,
62,6642,1,Da valutare,
63,4664,1,Medio,
64,7220,1,Alto,
65,6867,1,Alto,esterno
66,4952,1,Basso,
67,6238,1,Scommessa,
68,6660,1,Bassissimo,
69,2188,1,Medio,
70,6990,1,Bassissimo,
71,4502,1,Bassissimo,
72,7329,1,Basso,
73,7564,1,Basso,
74,7274,1,Basso,
75,7294,1,Basso,
76,6632,1,Bassissimo,
77,5739,1,Alto,
78,7253,1,Da valutare,
79,5695,1,Bassissimo,
80,7537,1,Bassissimo,
81,7012,1,Medio,
82,4374,1,Medio,
83,7526,1,Da valutare,
84,4263,1,Medio,
85,256,1,Basso,
86,4925,1,Da valutare,
87,7235,1,Bassissimo,
88,6892,1,Bassissimo,
89,5742,1,Bassissimo,
90,6896,1,Basso,
91,6021,1,Da valutare,
92,6537,1,Bassissimo,
93,7573,1,Scommessa,
94,5481,1,Basso,
95,7260,1,Bassissimo,
96,6875,1,Alto,
97,2194,1,Alto,
98,4777,1,Alto,
99,2167,1,Alto,
100,2423,1,Alto,
101,2379,1,Medio,
102,7126,1,Alto,
103,7556,1,Alto,
104,5559,1,Medio,
105,1870,1,Alto,
106,2766,1,Medio,att
107,4973,1,Alto,
108,2517,1,Alto,
109,632,1,Medio,
110,6908,1,Medio,
111,5119,1,Scommessa,
112,6884,1,Alto,
113,7314,1,Medio,
114,5687,1,Medio,
115,5792,1,Basso,
116,5800,1,Alto,
117,152,1,Medio,
118,2606,1,Basso,
119,6684,1,Medio,
120,5172,1,Medio,
121,4179,1,Alto,
122,1850,1,Medio,
123,7625,1,Medio,
124,5823,1,Medio,
125,4892,1,Basso,
126,7078,1,Alto,
127,184,1,Scommessa,
128,6844,1,Medio,
129,2848,1,Medio,
130,7223,1,Medio,rischio non titolarita
131,5589,1,Medio,
132,5844,1,Medio,
133,6274,1,Alto,
134,7070,1,Medio,non titolare?
135,827,1,Basso,
136,5562,1,Alto,
137,6398,1,Alto,
138,5878,1,Alto,att
139,536,1,Medio,
140,779,1,Buoni low cost,
141,5735,1,Alto,att
142,5888,1,Medio,
143,2077,1,Alto,
144,2765,1,Medio,
145,1933,1,Medio,
146,7472,1,Medio,
147,4856,1,Medio,
148,4287,1,Medio,
149,7551,1,Bassissimo,
150,6833,1,Medio,
151,4364,1,Medio,
152,5858,1,Medio,
153,7311,1,Alto,att
154,6294,1,Basso,
155,5791,1,Basso,
156,5685,1,Basso,
157,4459,1,Basso,
158,5504,3,Buoni low cost,
159,6666,1,Basso,
160,6680,1,Medio,
161,5946,1,Buoni low cost,
162,7619,1,Bassissimo,
163,5298,1,Basso,
164,6010,1,Scommessa,
165,7412,1,Medio,
166,7464,1,Medio,
167,5761,1,Basso,
168,6549,1,Bassissimo,
169,2741,1,Scommessa,rotto
170,6677,1,Bassissimo,
171,7060,10,Medio,
172,6218,1,Scommessa,
173,7198,1,Basso,
174,5674,1,Basso,
175,7146,1,Basso,
176,6898,1,Bassissimo,
177,7535,1,Basso,
178,5507,1,Bassissimo,
179,5319,1,Basso,
180,6618,1,Medio,
181,6895,1,Bassissimo,
182,6206,1,Basso,
183,6506,1,Scommessa,
184,4911,1,Medio,
185,6252,1,Basso,
186,6827,1,Scommessa,
187,7248,1,Bassissimo,
188,7477,1,Bassissimo,
189,5725,1,Bassissimo,
190,5007,1,Basso,
191,5585,150,Alto,max 200 mln
192,2764,1,Alto,
193,4871,1,Alto,
194,6052,1,Alto,
195,6397,1,Alto,
196,5951,1,Alto,
197,2097,1,Medio,alterna con altro
198,6752,1,Medio,
199,7017,1,Alto,
200,6434,1,Alto,
201,2137,1,Alto,
202,531,1,Medio,
203,5637,1,Medio,
204,6435,1,Alto,
205,5995,1,Medio,
206,7071,1,Alto,
207,309,1,Alto,
208,6675,1,Medio,alterna con un altro
209,6060,1,Medio,
210,7351,1,Medio,
211,7023,1,Medio,
212,2061,1,Alto,
213,5694,1,Alto,
214,5734,1,Medio,gioca?
215,4463,1,Medio,
216,6967,1,Alto,
217,2038,1,Alto,
218,4923,1,Da valutare,
219,7484,1,Basso,
220,6229,1,Basso,
221,7554,1,Bassissimo,
222,5436,1,Buoni low cost,molto buono
223,2155,1,Medio,
224,7347,1,Alto,
225,6904,1,Buoni low cost,
226,4359,1,Medio,
227,6530,12,Buoni low cost,
228,6164,1,Buoni low cost,
229,5029,1,Bassissimo,
230,7600,1,Basso,
231,6669,1,Scommessa,panchina?
232,7523,1,Buoni low cost,
233,6204,1,Medio,interessante scommessa
234,7162,1,Scommessa,non titolare
235,7561,1,Bassissimo,
