Id,R,RM,Nome,Squadra,Qt.A,Qt.I,Diff.,Qt.A M,Qt.I M,Diff.M,FVM,FVM M,pred_assists_per90,pred_clean_sheets_per90,pred_goals_against_per90,pred_goals_per90,pred_minutes,pred_tackles_won_per90
5841,P,Por,Svilar,Roma,19,18,1,19,18,1,85,85,,0.15327410399913788,0.481419175863266,,1602.701171875,
4431,P,Por,Carnesecchi,Atalanta,17,16,1,17,16,1,55,55,,0.13220016658306122,0.3883151113986969,,1668.936767578125,
5116,P,Por,Martinez Jo.,Inter,17,17,0,17,17,0,68,68,,0.0011737324530258775,0.03958137333393097,,1126.8978271484375,
4964,P,Por,Vicario,Juventus,17,16,1,17,16,1,70,70,,0.12131459265947342,0.5082234144210815,,1294.8651123046875,
6966,P,Por,Butez,Como,15,16,-1,15,16,-1,50,50,,0.1935480386018753,0.4471374750137329,,1489.2259521484375,
4312,P,Por,Maignan,Milan,15,15,0,15,15,0,52,52,,0.23153944313526154,0.27618417143821716,,1698.771240234375,
2521,P,Por,De Gea,Fiorentina,11,13,-2,11,13,-2,30,30,,0.1668207198381424,0.39551106095314026,,1538.040283203125,
572,P,Por,Meret,Napoli,11,11,0,11,11,0,48,48,,0.1465531885623932,0.20539143681526184,,1357.3538818359375,
133,P,Por,Skorupski,Bologna,10,10,0,10,10,0,32,32,,0.17352615296840668,0.39729928970336914,,1269.9683837890625,
4360,P,Por,Caprile,Cagliari,10,9,1,10,9,1,25,25,,0.08006568253040314,0.46265262365341187,,1222.987060546875,
6482,P,Por,Mandas,Lazio,10,9,1,10,9,1,36,36,,0.10208945721387863,0.33864182233810425,,1101.33154296875,
6462,P,Por,Okoye,Udinese,9,9,0,9,9,0,28,28,,0.12348853796720505,0.49568626284599304,,1242.637451171875,
6534,P,Por,Perri,Torino,9,9,0,9,9,0,26,26,,0.08573771268129349,0.541948676109314,,1315.0155029296875,
7332,P,Por,Bijlow,Genoa,8,8,0,8,8,0,15,15,,0.20125079154968262,0.4293431341648102,,1083.682861328125,
2134,P,Por,Falcone,Lecce,8,8,0,8,8,0,26,26,,0.0988481193780899,0.558195173740387,,1336.1776123046875,
6344,P,Por,Sanchez Ro.,Como,8,8,0,8,8,0,25,25,,0.0012956575956195593,0.05824197456240654,,1050.30419921875,
4236,P,Por,Muric,Sassuolo,7,7,0,7,7,0,15,15,,0.005551336333155632,0.46611806750297546,,1081.2525634765625,
7411,P,Por,Daffara,Parma,6,7,-1,6,7,-1,7,7,,0.006709142122417688,0.07787832617759705,,1072.1474609375,
6248,P,Por,Stankovic F.,Venezia,6,6,0,6,6,0,11,11,,0.08662262558937073,0.5802284479141235,,1078.821044921875,
6415,P,Por,Palmisani,Frosinone,5,4,1,5,4,1,12,12,,0.006709142122417688,0.07787832617759705,,1072.1474609375,
2170,P,Por,Milinkovic-Savic V.,Napoli,5,5,0,5,5,0,5,5,,0.12666060030460358,0.4301256537437439,,1516.384521484375,
4485,P,Por,Thiam,Monza,4,5,-1,4,5,-1,5,5,,0.006252890452742577,0.004094176460057497,,1429.6971435546875,
7463,P,Por,Desplanches,Frosinone,2,2,0,2,2,0,1,1,,0.006709142122417688,0.07787832617759705,,1072.1474609375,
2814,P,Por,Provedel,Inter,2,2,0,2,2,0,5,5,,0.20098942518234253,0.47647377848625183,,1480.7138671875,
6662,P,Por,Corvi,Parma,2,1,1,2,1,1,10,10,,0.050578899681568146,0.3779619038105011,,1154.3629150390625,
4,P,Por,Sportiello,Atalanta,1,1,0,1,1,0,1,1,,0.14422157406806946,0.3320036828517914,,970.5277709960938,
7533,P,Por,Happonen,Bologna,1,1,0,1,1,0,1,1,,0.006709142122417688,0.07787832617759705,,1072.1474609375,
7172,P,Por,Pessina Mas.,Bologna,1,1,0,1,1,0,1,1,,0.053028326481580734,0.26452699303627014,,1144.8350830078125,
6650,P,Por,Sherri,Cagliari,1,1,0,1,1,0,1,1,,0.0014742607017979026,0.43809282779693604,,1076.297119140625,
7301,P,Por,Tornqvist,Monza,1,1,0,1,1,0,10,10,,0.006709142122417688,0.07787832617759705,,1072.1474609375,
2809,P,Por,Vigorito,Como,1,1,0,1,1,0,1,1,,0.016996312886476517,0.14394652843475342,,1082.9222412109375,
6403,P,Por,Christensen O.,Fiorentina,1,1,0,1,1,0,1,1,,0.011530325748026371,0.23561416566371918,,1044.2020263671875,
158,P,Por,Lezzerini,Fiorentina,1,1,0,1,1,0,1,1,,0.006709142122417688,0.07787832617759705,,1072.1474609375,
7466,P,Por,Lolic,Frosinone,1,1,0,1,1,0,1,1,,0.006709142122417688,0.07787832617759705,,1072.1474609375,
219,P,Por,Sommariva,Genoa,1,1,0,1,1,0,1,1,,0.0033279729541391134,0.20753039419651031,,1076.297119140625,
6569,P,Por,Stolz,Genoa,1,1,0,1,1,0,1,1,,0.006709142122417688,0.07787832617759705,,1072.1474609375,
1926,P,Por,Di Gennaro,Inter,1,1,0,1,1,0,1,1,,0.0034826730843633413,0.0947217047214508,,1072.1474609375,
1930,P,Por,Pinsoglio,Juventus,1,1,0,1,1,0,1,1,,0.006709142122417688,0.07787832617759705,,1072.1474609375,
7337,P,Por,Motta,Lazio,1,1,0,1,1,0,1,1,,0.046187493950128555,0.2940155565738678,,1306.9827880859375,
7534,P,Por,Renzetti,Lazio,1,1,0,1,1,0,1,1,,0.006709142122417688,0.07787832617759705,,1072.1474609375,
2815,P,Por,Terracciano,Milan,1,1,0,1,1,0,1,1,,0.11063902080059052,0.15139487385749817,,1331.9141845703125,
6813,P,Por,Torriani,Milan,1,1,0,1,1,0,1,1,,0.006709142122417688,0.07787832617759705,,1072.1474609375,
7475,P,Por,Strajnar,Monza,1,1,0,1,1,0,1,1,,0.006709142122417688,0.07787832617759705,,1072.1474609375,
2845,P,Por,Contini,Napoli,1,1,0,1,1,0,1,1,,0.006709142122417688,0.08723200112581253,,1072.1474609375,
7048,P,Por,De Marzi,Roma,1,1,0,1,1,0,1,1,,0.006709142122417688,0.07787832617759705,,1072.1474609375,
610,P,Por,Gollini,Roma,1,1,0,1,1,0,1,1,,0.21408654749393463,0.41676604747772217,,1129.00830078125,
4518,P,Por,Russo A.,Sassuolo,1,1,0,1,1,0,1,1,,0.00423044990748167,0.07031315565109253,,1150.7078857421875,
4867,P,Por,Turati,Sassuolo,1,1,0,1,1,0,1,1,,0.025222497060894966,0.487007200717926,,1078.3995361328125,
7457,P,Por,Mascardi,Torino,1,1,0,1,1,0,5,5,,0.006709142122417688,0.07787832617759705,,1072.1474609375,
7363,P,Por,Siviero,Torino,1,1,0,1,1,0,1,1,,0.006709142122417688,0.07787832617759705,,1072.1474609375,
543,P,Por,Padelli,Udinese,1,1,0,1,1,0,1,1,,0.13594460487365723,0.5536472797393799,,854.0458984375,
5707,P,Por,Piana,Udinese,1,1,0,1,1,0,1,1,,0.006709142122417688,0.07787832617759705,,1072.1474609375,
6671,P,Por,Grandi,Venezia,1,1,0,1,1,0,1,1,,0.006709142122417688,0.07787832617759705,,1072.1474609375,
7531,P,Por,Pozzi,Venezia,1,1,0,1,1,0,1,1,,0.006709142122417688,0.07787832617759705,,1072.1474609375,
2127,P,Por,Satalino,Sassuolo,1,1,0,1,1,0,1,1,,0.006709142122417688,0.07787832617759705,,1072.1474609375,
7557,P,Por,Penev,Lecce,1,1,0,1,1,0,1,1,,0.006709142122417688,0.07787832617759705,,1072.1474609375,
7560,P,Por,Pisseri,Frosinone,1,1,0,1,1,0,1,1,,0.006709142122417688,0.07787832617759705,,1072.1474609375,
3,P,Por,Radunovic,Cagliari,1,1,0,1,1,0,1,1,,0.03939661756157875,0.5291864275932312,,1086.6351318359375,
4957,P,Por,Montipò,Venezia,1,1,0,1,1,0,1,1,,0.10386151075363159,0.5135165452957153,,1283.1099853515625,
4468,P,Por,Bleve,Lecce,1,1,0,1,1,0,1,1,,0.006709142122417688,0.07787832617759705,,1072.1474609375,
7603,P,Por,Grabara,Juventus,1,1,0,1,1,0,1,1,,0.091097891330719,0.47586965560913086,,1431.8426513671875,
7611,P,Por,Mrozek,Udinese,1,1,0,1,1,0,1,1,,0.006709142122417688,0.07787832617759705,,1072.1474609375,
2874,P,Por,Ghidotti,Parma,1,1,0,1,1,0,1,1,,0.006709142122417688,0.07787832617759705,,1072.1474609375,
7626,P,Por,Pompei,Atalanta,1,1,0,1,1,0,1,1,,0.006709142122417688,0.07787832617759705,,1072.1474609375,
254,D,E;W,Dimarco,Inter,31,32,-1,29,30,-1,240,240,0.1395891308784485,,,0.15218238532543182,1383.356201171875,0.6269448399543762
7181,D,E,Wesley,Roma,18,17,1,17,16,1,87,87,0.047209061682224274,,,0.04292633756995201,1287.3572998046875,0.7212023735046387
4998,D,E,Molina N.,Roma,18,18,0,18,18,0,78,78,0.06025892123579979,,,0.03499506413936615,1157.5499267578125,0.8502523899078369
2788,D,Dc,Bremer,Juventus,16,15,1,16,15,1,60,60,0.054821230471134186,,,0.03555171936750412,1371.4193115234375,0.7472589015960693
2296,D,Dc,Mancini,Roma,16,15,1,16,15,1,50,50,0.031275056302547455,,,0.04252953082323074,1515.505615234375,0.7389686107635498
4159,D,Dc,Akanji,Inter,15,16,-1,15,16,-1,47,47,0.015082192607223988,,,0.03491024672985077,1360.3480224609375,0.7388995885848999
4409,D,Dc,Rrahmani,Napoli,15,14,1,15,14,1,51,51,0.030750209465622902,,,0.04057992622256279,1308.4381103515625,0.6118513941764832
2120,D,Dc,Bastoni,Inter,14,14,0,14,14,0,43,43,0.058123648166656494,,,0.038209591060876846,1417.7249755859375,0.7139283418655396
4976,D,Dd;Dc,Kalulu,Juventus,14,13,1,14,14,0,47,49,0.044925857335329056,,,0.03790397197008133,1419.7957763671875,0.6759368777275085
5022,D,Dc,Pavlovic,Milan,14,14,0,14,14,0,49,49,0.05481772497296333,,,0.04249768331646919,1263.8502197265625,0.7059091925621033
5833,D,Dc,Gila,Milan,13,12,1,13,12,1,31,31,0.02503788471221924,,,0.03542709723114967,1470.427001953125,0.5525209307670593
4317,D,Dc,N'Dicka,Roma,13,13,0,13,13,0,42,42,0.04232079163193703,,,0.0330701544880867,1380.81689453125,0.8281039595603943
6956,D,Dc,Solet,Udinese,13,13,0,13,13,0,46,46,0.03763885051012039,,,0.03659096732735634,1313.19921875,0.4653923511505127
6217,D,Dc,Bisseck,Inter,12,11,1,12,11,1,36,36,0.06351129710674286,,,0.07315349578857422,1082.3858642578125,0.5248950123786926
2514,D,Dc,Stones,Inter,12,12,0,12,12,0,25,25,0.015833698213100433,,,0.03819483146071434,1076.8756103515625,0.5516703128814697
2816,D,Dd;E,Di Lorenzo,Napoli,12,12,0,12,12,0,39,39,0.0601869598031044,,,0.04207431897521019,1456.28662109375,0.590377151966095
5750,D,Dc,Ostigard,Genoa,11,11,0,11,11,0,41,41,0.05141660198569298,,,0.042746271938085556,1405.8929443359375,0.52189701795578
4807,D,Dc,Hermoso,Roma,11,10,1,11,10,1,26,26,0.046261221170425415,,,0.039115648716688156,1431.4931640625,0.8422046899795532
5982,D,E,Spence,Inter,11,12,-1,10,11,-1,37,35,0.043813738971948624,,,0.03646886348724365,1257.6395263671875,0.5461647510528564
5526,D,Dc,Scalvini,Atalanta,10,10,0,10,10,0,28,28,0.05574793368577957,,,0.03733540326356888,1234.1885986328125,0.9706711173057556
6869,D,Dc,Ramon,Como,10,10,0,10,10,0,31,31,0.045037392526865005,,,0.03568873554468155,1274.654541015625,0.7116111516952515
5641,D,Dd;Dc,Chalobah T.,Como,10,9,1,11,10,1,32,34,0.039711467921733856,,,0.042034752666950226,1415.502197265625,0.5886989235877991
5885,D,Dd;E,Dodò,Fiorentina,9,10,-1,9,10,-1,20,20,0.03664708510041237,,,0.034898143261671066,1516.9417724609375,0.7702683210372925
5514,D,Ds;Dc,Vasquez,Genoa,9,9,0,10,10,0,30,33,0.021299205720424652,,,0.02903115190565586,1507.22900390625,0.7024734616279602
4994,D,Dd;E,Vojvoda,Udinese,9,8,1,9,8,1,19,19,0.05996456369757652,,,0.033806268125772476,1161.162109375,0.8118870854377747
5555,D,Ds;E,Kamara H.,Udinese,9,6,3,9,6,3,12,12,0.009538776241242886,,,0.023038236424326897,1040.2188720703125,0.5226054787635803
554,D,Dd;E,Zappacosta,Atalanta,8,8,0,8,8,0,19,19,0.07202775031328201,,,0.08158225566148758,1264.41552734375,0.7522628903388977
4734,D,Ds;E,Miranda J.,Bologna,8,8,0,8,8,0,23,23,0.07039127498865128,,,0.03585447371006012,1363.9744873046875,0.9608545899391174
4657,D,B;Dd;E,Celik,Juventus,8,8,0,9,9,0,16,18,0.03195307031273842,,,0.035219114273786545,1308.73095703125,0.7517520785331726
5520,D,Dd;Ds;E,Cambiaso,Juventus,8,9,-1,9,10,-1,18,21,0.06647010892629623,,,0.04631233587861061,1376.287841796875,0.7915071845054626
6320,D,Dc,Doekhi,Lazio,8,7,1,8,7,1,16,16,0.050956908613443375,,,0.050225477665662766,1479.7152099609375,0.7752900123596191
6989,D,Dc,Tiago Gabriel,Lecce,8,7,1,8,7,1,20,20,0.020354773849248886,,,0.02358360029757023,1354.602294921875,0.456344872713089
6496,D,Ds;E,Bartesaghi,Milan,8,8,0,8,8,0,22,22,0.020231135189533234,,,0.023806363344192505,1276.25341796875,0.38190144300460815
