feature,name,category,description,positive,negative,unit
age,Età,Profile,Età anagrafica del giocatore.,Età compatibile con crescita o piena maturità può favorire la previsione.,Età più avanzata può associarsi a minor margine di crescita o possibile calo.,years
birth_year,Anno di nascita,Profile,"Anno di nascita, usato come indicatore indiretto dell'età.",Profilo anagrafico favorevole rispetto al campione può sostenere la previsione.,Profilo anagrafico meno favorevole può ridurre la previsione.,year
appearances,Presenze stagionali,Reliability,Numero totale di presenze ottenute nella stagione.,Molte presenze indicano continuità e disponibilità.,Poche presenze possono indicare impiego limitato o maggiore incertezza.,count
starts,Presenze da titolare,Reliability,Numero di partite iniziate dal primo minuto.,Molte titolarità indicano un ruolo importante nelle gerarchie.,Poche titolarità possono indicare rotazioni o ruolo marginale.,count
minutes,Minuti giocati,Reliability,Volume totale di minuti disputati nella stagione.,Alto minutaggio indica continuità e maggiori possibilità di incidere.,Basso minutaggio indica maggiore rischio di impiego limitato.,minutes
nineties,Partite equivalenti complete,Reliability,Numero di partite complete equivalenti ricavate dai minuti giocati.,Elevato volume di gioco indica maggiore continuità stagionale.,Basso volume di gioco indica utilizzo limitato.,90s
goals_per90,Gol per 90 minuti,Attack,Produzione realizzativa normalizzata sui minuti giocati.,"Elevata produzione realizzativa sostiene una previsione più alta.",Bassa produzione realizzativa riduce il potenziale offensivo previsto.,goals/90
assists_per90,Assist per 90 minuti,Attack,Numero di assist prodotti per 90 minuti.,"Elevato contributo creativo sostiene una previsione offensiva più alta.",Basso contributo creativo riduce il potenziale offensivo previsto.,assists/90
goals_assists_per90,Gol e assist per 90 minuti,Attack,Produzione offensiva complessiva normalizzata sui minuti.,Elevata partecipazione ai gol indica forte contributo offensivo.,Bassa partecipazione ai gol indica contributo offensivo più limitato.,G+A/90
non_penalty_goals_per90,Gol senza rigori per 90 minuti,Attack,Produzione realizzativa esclusi i rigori.,Elevata produzione senza rigori indica capacità realizzativa indipendente dai penalty.,Bassa produzione senza rigori indica minore efficacia realizzativa.,goals/90
non_penalty_goals_assists_per90,Gol e assist senza rigori per 90 minuti,Attack,Contributo offensivo normalizzato esclusi i rigori.,Elevata produzione offensiva non dipendente dai rigori sostiene la previsione.,Bassa produzione offensiva non dipendente dai rigori riduce la previsione.,G+A/90
shots_per90,Tiri per 90 minuti,Attack,Numero di conclusioni tentate per 90 minuti.,Alto numero di tiri indica maggiore coinvolgimento offensivo e può sostenere la previsione realizzativa.,"Basso numero volume di tiri limita le opportunità di segnare.",shots/90
shots_on_target_per90,Tiri nello specchio per 90 minuti,Attack,Numero di conclusioni nello specchio per 90 minuti.,Alto numero di tiri nello specchio indica maggiore pericolosità offensiva.,Basso numero indica minore presenza nelle situazioni di finalizzazione.,shots/90
goals_per_shot,Gol per tiro,Attack,Rapporto tra gol segnati e tiri tentati.,Elevata conversione indica maggiore efficienza realizzativa.,Bassa conversione indica minore efficienza nel trasformare le conclusioni in gol.,ratio
goals_per_shot_on_target,Gol per tiro nello specchio,Attack,Efficienza realizzativa sui tiri nello specchio.,Elevata conversione indica maggiore efficacia nella finalizzazione.,Bassa conversione indica minore efficacia nella finalizzazione.,ratio
yellow_cards_per90,Cartellini gialli per 90 minuti,Discipline,Frequenza di ammonizioni normalizzata sui minuti.,Basso numero di ammonizioni riduce il rischio di malus e squalifiche.,Alto numero di ammonizioni aumenta il rischio di malus e assenze.,cards/90
red_cards_per90,Cartellini rossi per 90 minuti,Discipline,Frequenza di espulsioni normalizzata sui minuti.,Basso numero di espulsioni riduce il rischio di assenze e malus.,Alto numero di espulsioni aumenta il rischio di assenze e malus.,cards/90
interceptions_per90,Intercetti per 90 minuti,Defense,Numero di palloni intercettati per 90 minuti.,"Elevata attività negli intercetti indica maggiore contributo difensivo, particolarmente rilevante per D.",Bassa attività indica contributo difensivo più limitato.,actions/90
tackles_won_per90,Contrasti vinti per 90 minuti,Defense,Numero di contrasti vinti per 90 minuti.,"Elevata efficacia nei contrasti indica maggiore contributo difensivo, particolarmente rilevante per D.",Bassa efficacia indica contributo difensivo più limitato.,actions/90
wins_per90,Vittorie per 90 minuti,Team,Frequenza di vittorie della squadra durante i minuti giocati.,Un contesto con più vittorie può sostenere la previsione attraverso il rendimento della squadra.,Un contesto con poche vittorie può indicare un ambiente meno favorevole.,ratio
draws_per90,Pareggi per 90 minuti,Team,Frequenza di pareggi della squadra durante i minuti giocati.,Può indicare stabilità del rendimento collettivo.,Bassa frequenza non indica necessariamente un effetto negativo; dipende dal contesto.,ratio
losses_per90,Sconfitte per 90 minuti,Team,Frequenza di sconfitte della squadra durante i minuti giocati.,Basso numero di sconfitte indica un contesto generalmente più favorevole.,Alto numero di sconfitte indica un contesto generalmente meno favorevole.,ratio
clean_sheets_per90,Clean sheet per 90 minuti,Defense,Frequenza di clean sheet normalizzata sui minuti.,"Elevata frequenza indica maggiore solidità difensiva, particolarmente rilevante per P e D.","Bassa frequenza indica minore solidità e minor potenziale di bonus.",clean sheets/90
