Id,mln,interest,description
5841,60,Alto,
4431,40,Medio,
5116,60,Alto,
4964,60,Alto,
6966,50,Alto,
4312,45,Medio,
2521,30,Medio,
572,45,Medio,contesa con Milinkovic
133,25,Medio,
4360,10,Basso,
6482,35,Medio,
6462,25,Basso,
6534,7,Basso,
7332,1,Bassissimo,
2134,5,Basso,
4236,20,Medio,
6415,15,Scommessa,
2170,45,Medio,contesa con Meret
6662,1,Bassissimo,
7301,1,Bassissimo,
4957,1,Bassissimo,
254,1,Alto,
7181,1,Alto,
4998,1,Medio,
2788,1,Alto,
2296,1,Medio,
4159,1,Alto,
4409,1,Medio,
2120,1,Alto,
4976,1,Alto,
5022,1,Alto,
5833,1,Bassissimo,
4317,1,Basso,
6956,1,Medio,
2816,1,Alto,
5750,1,Basso,
4807,1,Medio,
6869,1,Medio,
5641,1,Medio,
5514,1,Da valutare,
4994,1,Medio,
5555,1,Medio,esterno
554,1,Medio,
4734,1,Medio,
4657,1,Medio,
6320,1,Da valutare,
6989,1,Bassissimo,
1852,1,Medio,
6664,1,Medio,
5862,1,Bassissimo,
6495,1,Basso,
6727,1,Alto,terzino
5675,1,Medio,
4137,1,Da valutare,
6042,1,Medio,
4433,1,Medio,
5701,1,Basso,
5365,1,Basso,
7469,1,Bassissimo,
5620,1,Alto,
7485,1,Basso,esterno
6672,1,Medio,
6642,1,Da valutare,
4664,1,Medio,
7220,1,Alto,
6867,1,Alto,esterno
4952,1,Basso,
6238,1,Scommessa,
6660,1,Bassissimo,
2188,1,Medio,
6990,1,Bassissimo,
4502,1,Bassissimo,
7329,1,Basso,
7564,1,Basso,
7274,1,Basso,
7294,1,Basso,
6632,1,Bassissimo,
5739,1,Alto,
7253,1,Da valutare,
5695,1,Bassissimo,
7537,1,Bassissimo,
7012,1,Medio,
4374,1,Medio,
7526,1,Da valutare,
4263,1,Medio,
256,1,Basso,
4925,1,Da valutare,
7235,1,Bassissimo,
6892,1,Bassissimo,
5742,1,Bassissimo,
6896,1,Basso,
6021,1,Da valutare,
6537,1,Bassissimo,
7573,1,Scommessa,
5481,1,Basso,
7260,1,Bassissimo,
6875,1,Alto,
2194,1,Alto,
4777,1,Alto,
2167,1,Alto,
2423,1,Alto,
2379,1,Medio,
7126,1,Alto,
7556,1,Alto,
5559,1,Medio,
1870,1,Alto,
2766,1,Medio,att
4973,1,Alto,
2517,1,Alto,
632,1,Medio,
6908,1,Medio,
5119,1,Scommessa,
6884,1,Alto,
7314,1,Medio,
5687,1,Medio,
5792,1,Basso,
5800,1,Alto,
152,1,Medio,
2606,1,Basso,
6684,1,Medio,
5172,1,Medio,
4179,1,Alto,
1850,1,Medio,
7625,1,Medio,
5823,1,Medio,
4892,1,Basso,
7078,1,Alto,
184,1,Scommessa,
6844,1,Medio,
2848,1,Medio,
7223,1,Medio,rischio non titolarita
5589,1,Medio,
5844,1,Medio,
6274,1,Alto,
7070,1,Medio,non titolare?
827,1,Basso,
5562,1,Alto,
6398,1,Alto,
5878,1,Alto,att
536,1,Medio,
779,1,Buoni low cost,
5735,1,Alto,att
5888,1,Medio,
2077,1,Alto,
2765,1,Medio,
1933,1,Medio,
7472,1,Medio,
4856,1,Medio,
4287,1,Medio,
7551,1,Bassissimo,
6833,1,Medio,
4364,1,Medio,
5858,1,Medio,
7311,1,Alto,att
6294,1,Basso,
5791,1,Basso,
5685,1,Basso,
4459,1,Basso,
5504,3,Buoni low cost,
6666,1,Basso,
6680,1,Medio,
5946,1,Buoni low cost,
7619,1,Bassissimo,
5298,1,Basso,
6010,1,Scommessa,
7412,1,Medio,
7464,1,Medio,
5761,1,Basso,
6549,1,Bassissimo,
2741,1,Scommessa,rotto
6677,1,Bassissimo,
7060,10,Medio,
6218,1,Scommessa,
7198,1,Basso,
5674,1,Basso,
7146,1,Basso,
6898,1,Bassissimo,
7535,1,Basso,
5507,1,Bassissimo,
5319,1,Basso,
6618,1,Medio,
6895,1,Bassissimo,
6206,1,Basso,
6506,1,Scommessa,
4911,1,Medio,
6252,1,Basso,
6827,1,Scommessa,
7248,1,Bassissimo,
7477,1,Bassissimo,
5725,1,Bassissimo,
5007,1,Basso,
5585,150,Alto,max 200 mln
2764,1,Alto,
4871,1,Alto,
6052,1,Alto,
6397,1,Alto,
5951,1,Alto,
2097,1,Medio,alterna con altro
6752,1,Medio,
7017,1,Alto,
6434,1,Alto,
2137,1,Alto,
531,1,Medio,
5637,1,Medio,
6435,1,Alto,
5995,1,Medio,
7071,1,Alto,
309,1,Alto,
6675,1,Medio,alterna con un altro
6060,1,Medio,
7351,1,Medio,
7023,1,Medio,
2061,1,Alto,
5694,1,Alto,
5734,1,Medio,gioca?
4463,1,Medio,
6967,1,Alto,
2038,1,Alto,
4923,1,Da valutare,
7484,1,Basso,
6229,1,Basso,
7554,1,Bassissimo,
5436,1,Buoni low cost,molto buono
2155,1,Medio,
7347,1,Alto,
6904,1,Buoni low cost,
4359,1,Medio,
6530,12,Buoni low cost,
6164,1,Buoni low cost,
5029,1,Bassissimo,
7600,1,Basso,
6669,1,Scommessa,panchina?
7523,1,Buoni low cost,
6204,1,Medio,interessante scommessa
7162,1,Scommessa,non titolare
7561,1,Bassissimo,
