id,player,team,role,mantra_role,manager,mln
2170,Milinkovic-Savic V.,Napoli,P,Por,Panza,17
5116,Martinez Jo.,Inter,P,Por,Panza,26
572,Meret,Napoli,P,Por,Panza,1
7220,Belghali,Torino,D,Dd;E,Panza,1
6867,Valle,Como,D,Ds;E,Panza,16
5555,Kamara H.,Udinese,D,Ds;E,Panza,6
7573,Cinquegrano,Sassuolo,D,Dd;E,Panza,1
6727,Couto,Como,D,Dd;E,Panza,10
4807,Hermoso,Roma,D,Dc,Panza,3
5739,De Winter,Milan,D,Dd;Dc,Panza,1
7181,Wesley,Roma,D,E,Panza,49
1870,Barella,Inter,C,C,Panza,15
6274,Diouf,Inter,C,E;C,Panza,9
2423,Pulisic,Milan,C,T;A,Panza,32
6884,Conceicao,Juventus,C,W;A,Panza,11
6398,Isaksen,Lazio,C,W;A,Panza,3
7556,Mora,Roma,C,T,Panza,51
7078,Mastantuono,Fiorentina,C,W;T,Panza,21
4777,McTominay,Napoli,C,C;T,Panza,21
5841,Svilar,Roma,P,Por,Varro,40
6966,Butez,Como,P,Por,Varro,20
2521,De Gea,Fiorentina,P,Por,Varro,1
254,Dimarco,Inter,D,E;W,Varro,58
4657,Celik,Juventus,D,B;Dd;E,Varro,1
6217,Bisseck,Inter,D,Dc,Varro,10
6956,Solet,Udinese,D,Dc,Varro,11
4409,Rrahmani,Napoli,D,Dc,Varro,10
5641,Chalobah T.,Como,D,Dd;Dc,Varro,11
5833,Gila,Milan,D,Dc,Varro,1
5750,Ostigard,Genoa,D,Dc,Varro,1
1933,Mandragora,Torino,C,C,Varro,5
5119,Samardzic,Atalanta,C,C;T,Varro,3
2167,Orsolini,Bologna,C,W;A,Varro,32
5589,Konè M.,Roma,C,M;C,Varro,3
152,Zielinski,Inter,C,C,Varro,1
2848,Frattesi,Lazio,C,C;T,Varro,12
6875,Paz N.,Como,C,T;A,Varro,67
2134,Falcone,Lecce,P,Por,Fabio,1
4431,Carnesecchi,Atalanta,P,Por,Fabio,30
4964,Vicario,Juventus,P,Por,Fabio,15
5526,Scalvini,Atalanta,D,Dc,Fabio,9
2120,Bastoni,Inter,D,Dc,Fabio,34
6660,Marcandalli,Genoa,D,Dc,Fabio,1
1852,Spinazzola,Napoli,D,Ds;E,Fabio,1
7599,Lulli,Roma,D,E,Fabio,1
2296,Mancini,Roma,D,Dc,Fabio,21
4734,Miranda J.,Bologna,D,Ds;E,Fabio,1
6869,Ramon,Como,D,Dc,Fabio,14
2194,Calhanoglu,Inter,C,M;C,Fabio,51
6372,Moreira,Milan,C,E;W,Fabio,3
5687,Vlasic,Torino,C,T,Fabio,15
5559,Da Cunha,Como,C,C;T,Fabio,7
536,Politano,Napoli,C,W,Fabio,1
4973,McKennie,Juventus,C,C;T,Fabio,21
133,Skorupski,Bologna,P,Por,Delgu,1
4312,Maignan,Milan,P,Por,Delgu,20
4360,Caprile,Cagliari,P,Por,Delgu,1
2788,Bremer,Juventus,D,Dc,Delgu,34
554,Zappacosta,Atalanta,D,Dd;E,Delgu,2
2816,Di Lorenzo,Napoli,D,Dd;E,Delgu,16
4976,Kalulu,Juventus,D,Dd;Dc,Delgu,16
5838,Birindelli,Monza,D,Dd;Ds;E,Delgu,1
4998,Molina N.,Roma,D,E,Delgu,11
5022,Pavlovic,Milan,D,Dc,Delgu,1
4159,Akanji,Inter,D,Dc,Delgu,1
6908,Atta,Fiorentina,C,C;T,Delgu,23
5792,Ederson D.S.,Atalanta,C,M;C,Delgu,6
2379,Rabiot,Milan,C,C;T,Delgu,23
2766,Zaniolo,Udinese,C,T;A,Delgu,20
632,Zaccagni,Lazio,C,W;A,Delgu,33
2517,De Bruyne,Napoli,C,T,Delgu,1
7625,Goncalves P.,Fiorentina,C,W;T,Delgu,1
