Id,mln,interest,description
5841,1,Medio,
5116,0,Da valutare,
4431,0,Da valutare,
6966,40,Alto,
4312,0,Da valutare,
572,0,Da valutare,
5876,0,Da valutare,
2170,0,Da valutare,
2814,0,Da valutare,
1926,0,Da valutare,
610,0,Da valutare,
5320,0,Da valutare,
254,0,Da valutare,
7181,0,Da valutare,
4159,0,Da valutare,
2788,0,Da valutare,
2296,0,Da valutare,
2120,0,Da valutare,
4317,0,Da valutare,
6956,0,Da valutare,
2816,0,Da valutare,
5520,0,Da valutare,
554,0,Da valutare,
4734,0,Da valutare,
6531,0,Da valutare,
1852,0,Da valutare,
7529,0,Da valutare,
6320,0,Da valutare,
460,0,Da valutare,
4401,0,Da valutare,
4751,0,Da valutare,
6642,0,Da valutare,
4433,0,Da valutare,
6867,0,Da valutare,
4177,0,Da valutare,
5620,0,Da valutare,
2188,0,Da valutare,
4502,0,Da valutare,
6893,0,Da valutare,
2593,0,Da valutare,
6766,0,Da valutare,
5831,0,Da valutare,
4374,0,Da valutare,
5851,0,Da valutare,
4263,0,Da valutare,
4845,0,Da valutare,
7268,0,Da valutare,
7175,0,Da valutare,
6883,0,Da valutare,
6638,0,Da valutare,
6681,0,Da valutare,
7202,0,Da valutare,
6875,0,Da valutare,
4777,0,Da valutare,
2194,0,Da valutare,
2167,0,Da valutare,
2423,0,Da valutare,
2379,0,Da valutare,
7126,0,Da valutare,
7556,0,Da valutare,
5559,0,Da valutare,
2766,0,Da valutare,
6908,0,Da valutare,
1870,0,Da valutare,
4973,0,Da valutare,
632,0,Da valutare,
2517,0,Da valutare,
5687,0,Da valutare,
5800,0,Da valutare,
5792,0,Da valutare,
5119,0,Da valutare,
7129,0,Da valutare,
6884,0,Da valutare,
2606,0,Da valutare,
7078,0,Da valutare,
6372,0,Da valutare,
6844,0,Da valutare,
6151,0,Da valutare,
152,0,Da valutare,
5562,0,Da valutare,
4892,0,Da valutare,
536,0,Da valutare,
5589,0,Da valutare,
5844,0,Da valutare,
5888,0,Da valutare,
6684,0,Da valutare,
2077,0,Da valutare,
184,0,Da valutare,
1933,0,Da valutare,
5500,0,Da valutare,
6717,0,Da valutare,
2765,0,Da valutare,
4465,0,Da valutare,
6274,0,Da valutare,
7070,0,Da valutare,
5878,0,Da valutare,
7223,0,Da valutare,
4364,0,Da valutare,
5858,0,Da valutare,
6010,0,Da valutare,
5791,0,Da valutare,
2848,0,Da valutare,
4287,0,Da valutare,
6218,0,Da valutare,
6783,0,Da valutare,
5946,0,Da valutare,
5422,0,Da valutare,
5298,0,Da valutare,
5761,0,Da valutare,
7412,0,Da valutare,
2857,0,Da valutare,
2529,0,Da valutare,
5685,0,Da valutare,
6015,0,Da valutare,
6190,0,Da valutare,
2528,0,Da valutare,
6170,0,Da valutare,
22,0,Da valutare,
6054,0,Da valutare,
4911,0,Da valutare,
333,0,Da valutare,
5453,0,Da valutare,
4199,0,Da valutare,
6252,0,Da valutare,
6827,0,Da valutare,
6895,0,Da valutare,
5813,0,Da valutare,
7477,0,Da valutare,
7536,0,Da valutare,
526,0,Da valutare,
5725,0,Da valutare,
7319,0,Da valutare,
5007,0,Da valutare,
7392,0,Da valutare,
2764,0,Da valutare,
5585,150,Alto,max 200 mln
4871,0,Da valutare,
6052,0,Da valutare,
6397,0,Da valutare,
5951,0,Da valutare,
2097,0,Da valutare,
6434,0,Da valutare,
7017,0,Da valutare,
2137,0,Da valutare,
5637,0,Da valutare,
6435,0,Da valutare,
531,0,Da valutare,
5995,0,Da valutare,
6675,0,Da valutare,
7071,0,Da valutare,
7023,0,Da valutare,
6060,0,Da valutare,
2061,0,Da valutare,
309,0,Da valutare,
6572,0,Da valutare,
4371,0,Da valutare,
4463,0,Da valutare,
4728,0,Da valutare,
5734,0,Da valutare,
7484,0,Da valutare,
6967,0,Da valutare,
4923,0,Da valutare,
7554,0,Da valutare,
5544,0,Da valutare,
5029,0,Da valutare,
2155,0,Da valutare,
6646,0,Da valutare,
4359,0,Da valutare,
6164,0,Da valutare,
6669,0,Da valutare,
608,0,Da valutare,
2832,0,Da valutare,
7008,0,Da valutare,
5882,0,Da valutare,
2012,0,Da valutare,
313,0,Da valutare,
7162,0,Da valutare,
7272,0,Da valutare,
7128,0,Da valutare,
7120,0,Da valutare,
6215,0,Da valutare,
7161,0,Da valutare,
